product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,0.4,59.7,0.3,0.2607,0.0026,0.0515,289,229,79.24,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,0.4,55.5,0.3,0.2424,0.0029,0.0536,289,229,79.24,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,0.4,52.3,0.3,0.2284,0.0024,0.0488,289,229,79.24,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,0.3,51.3001,0.2,0.224,0.0023,0.0485,289,229,79.24,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,0.4,53.2,0.3,0.2323,0.003,0.0545,289,229,79.24,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.1,0.4,57,0.3,0.2489,0.0032,0.0565,289,229,79.24,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,0.3,53.6,0.2,0.2351,0.0026,0.0513,289,228,78.89,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,0.4,59.3,0.3,0.2601,0.0033,0.0572,289,228,78.89,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.1,0.4,56.5,0.3,0.2467,0.0033,0.0572,289,229,79.24,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,0.5,59.6,0.4,0.2614,0.0037,0.0607,289,228,78.89,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,0.4,59.4,0.3,0.2594,0.0034,0.0581,289,229,79.24,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,0.4,56.4,0.3,0.2463,0.0034,0.058,289,229,79.24,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.1,0.5,59.8,0.4,0.2611,0.0042,0.0649,289,229,79.24,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,0.4,58.4,0.3,0.2561,0.0033,0.0578,289,228,78.89,2.01515E+12,0.3
