product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,0.2,49.6001,0.1,0.1759,0.0018,0.0428,289,282,97.58,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,0.2,39.2001,0.1,0.139,0.0024,0.0488,289,282,97.58,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,0.2,46.7001,0.1,0.1656,0.0023,0.0475,289,282,97.58,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,0.2,45.2001,0.1,0.1603,0.0024,0.0489,289,282,97.58,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,0.2,48.1001,0.1,0.1706,0.0021,0.0456,289,282,97.58,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.1,0.3,45.6,0.2,0.1617,0.0024,0.0493,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,0.3,49.0001,0.2,0.1738,0.0021,0.0463,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,0.2,32.3001,0.1,0.1145,0.0012,0.0352,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.1,0.3,51.7001,0.2,0.1833,0.0015,0.0391,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,0.3,50.8001,0.2,0.1801,0.0019,0.0433,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,0.2,41.8001,0.1,0.1482,0.0025,0.05,289,282,97.58,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,0.2,42.9,0.1,0.1521,0.0025,0.05,289,282,97.58,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.1,0.3,49.9001,0.2,0.177,0.0019,0.0438,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,0.3,48.8001,0.2,0.173,0.002,0.0452,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,0.3,41.7,0.2,0.1479,0.0027,0.052,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,0.2,31.9001,0.1,0.1131,0.0011,0.0338,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,0.2,31.9001,0.1,0.1131,0.0011,0.0338,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.1,0.2,39.3001,0.1,0.1394,0.0024,0.0489,289,282,97.58,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,0.2,29.7001,0.1,0.1053,0.0005,0.0224,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,0.2,29.7001,0.1,0.1053,0.0005,0.0224,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,0.2,29.5001,0.1,0.1046,0.0004,0.021,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,0.2,28.6001,0.1,0.1014,0.0001,0.0118,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,0.2,29.3001,0.1,0.1039,0.0004,0.0194,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,0.2,30.1001,0.1,0.1067,0.0006,0.0251,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,0.2,29.1001,0.1,0.1032,0.0003,0.0176,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,0.3,29.6001,0.2,0.105,0.0005,0.0233,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.2,28.8001,0.1,0.1021,0.0002,0.0144,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.2,28.7001,0.1,0.1018,0.0002,0.0132,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,0.2,28.5001,0.1,0.1011,0.0001,0.0103,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,0.1,28.2001,0,0.1,0,0,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,0.1,28.2001,0,0.1,0,0,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.1,28.2001,0,0.1,0,0,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.1,28.2001,0,0.1,0,0,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,0.1,28.2001,0,0.1,0,0,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.1,28.2001,0,0.1,0,0,289,282,97.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,0.1,28.2001,0,0.1,0,0,289,282,97.58,2.01515E+12,0.1
