product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,2.2,6.5,1054.9999,4.3,3.6888,1.3546,1.1639,289,286,98.96,2.01515E+12,3.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,6.6,701.5001,6.1,2.9851,3.0542,1.7476,289,235,81.31,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.5,6.6,733.5997,6.1,3.246,3.0123,1.7356,289,226,78.2,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.6,6.7,1205.3988,5.1,4.2745,1.52,1.2329,289,282,97.58,2.01515E+12,3.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,6.7,874.5001,6.1,3.5405,2.0536,1.433,289,247,85.47,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.1,6.6,718.7002,6.5,3.1113,2.4289,1.5585,289,231,79.93,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.3,6.6,625.1998,6.3,2.7664,2.8049,1.6748,289,226,78.2,2.01515E+12,3.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.6,6.2,986.3998,4.6,3.5229,1.8433,1.3577,289,280,96.89,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.6,6.9,1035.6998,5.3,3.634,1.5153,1.231,289,285,98.62,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.9,6.6,812.3005,5.7,2.8703,1.8793,1.3709,289,283,97.92,2.01515E+12,2
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.2,6.8,944.1998,5.6,3.2671,1.6333,1.278,289,289,100,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.2,6.6,931.9001,5.4,3.2358,1.6642,1.2901,289,288,99.65,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.1,6.7,149.5,6.6,1.3114,2.7828,1.6682,289,114,39.45,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,1,6.6,1059.7001,5.6,3.7578,1.7949,1.3397,289,282,97.58,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.5,6.8,669.2999,6.3,2.5942,2.5747,1.6046,289,258,89.27,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.6,6.4,985.1997,4.8,3.409,1.3488,1.1614,289,289,100,2.01515E+12,3
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,6.3,212.3,6.1,1.1174,0.6376,0.7985,289,190,65.74,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,6.7,260.3,6.6,1.4874,1.8953,1.3767,289,175,60.55,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.8,6.1,466.6999,5.3,2.1606,1.5616,1.2496,289,216,74.74,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,1.6,38.8,1.5,0.4409,0.0995,0.3154,289,88,30.45,2.01515E+12,F
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.7,6.4,860.4006,5.7,3.0189,1.5434,1.2423,289,285,98.62,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002277,04/10/2002,1.4,6.4,1005.5994,5,3.5534,1.5951,1.263,289,283,97.92,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002281,08/10/2002,1.4,5.4,490.1002,4,2.6929,1.47,1.2124,289,182,62.98,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.2,6.4,140.2,6.2,1.1983,2.3244,1.5246,289,117,40.48,2.01515E+12,F
MCD15A3H,Lai_500m,A2002289,16/10/2002,1.2,6.5,990.0999,5.3,3.426,1.6879,1.2992,289,289,100,2.01515E+12,4
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,5,292.9001,4.9,1.0277,0.3102,0.557,289,285,98.62,2.01515E+12,1
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.8,41.9,0.7,0.3809,0.029,0.1703,289,110,38.06,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,6.4,492.0003,6.3,1.968,1.6716,1.2929,289,250,86.51,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002305,01/11/2002,1.1,4.1,752.2007,3,2.6118,0.7,0.8367,289,288,99.65,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002309,05/11/2002,1,5.2,607.0002,4.2,2.1373,0.5678,0.7535,289,284,98.27,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,2.7,99.3,2.6,0.6993,0.2987,0.5465,289,142,49.13,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.8,4,546.4999,3.2,1.891,0.5372,0.733,289,289,100,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.8,2.7,506.1002,1.9,1.7512,0.2882,0.5369,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.6,4.6,550.7999,4,1.9059,0.4484,0.6697,289,289,100,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.6,3.3,440.1999,2.7,1.5232,0.4251,0.652,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.5,2.8,515.5002,2.3,1.7837,0.3376,0.581,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.3,6.1,423.9,5.8,1.4719,0.6797,0.8245,289,288,99.65,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.3,2.3,330.6001,2,1.2066,0.1812,0.4257,289,274,94.81,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.3,4.1,400.1003,3.8,1.5508,0.9083,0.9531,289,258,89.27,2.01515E+12,3.5
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.5,4.3,505.4002,3.8,1.7488,0.5502,0.7418,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.5,3.5,499.5002,3,1.7284,0.452,0.6723,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.5,2.7,328.9,2.2,1.1381,0.1988,0.4458,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.4,2.9,463.8999,2.5,1.6052,0.3612,0.601,289,289,100,2.01515E+12,2.2
