product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,2.5,231.5,2.2,0.801,0.0735,0.2712,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,1.2,208.2999,0.9,0.7208,0.0304,0.1745,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,2.3,244.7,2.1,0.8467,0.0894,0.299,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.4,1.8,196.4998,1.4,0.6799,0.0323,0.1798,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.4,1,161.5999,0.6,0.5592,0.0121,0.11,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.4,0.9,178.3999,0.5,0.6173,0.0114,0.1068,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.4,0.9,180.4,0.5,0.6242,0.011,0.1051,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.5,1,197.5999,0.5,0.6837,0.013,0.114,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.5,1.1,218.1999,0.6,0.755,0.0183,0.1351,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,1.2,244.1999,0.7,0.845,0.021,0.145,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.6,2.1,251.5,1.5,0.8702,0.0442,0.2103,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,1.5,257.3999,1,0.8907,0.0391,0.1978,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.6,1.7,271.1,1.1,0.9381,0.0423,0.2056,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.6,1.6,303.7004,1,1.0509,0.044,0.2098,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.6,1.8,298.1003,1.2,1.0315,0.0417,0.2041,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.5,2.4,293.0001,1.9,1.0138,0.0788,0.2807,289,289,100,2.01515E+12,0.7
