product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,2002-07-04,0.4,2.7,349.0003,2.3,1.2076,0.1566,0.3957,289,289,100.0,2015149105824,1.5
MCD15A3H,Lai_500m,A2002189,2002-07-08,0.5,2.4,345.6001,1.9,1.1958,0.1443,0.3798,289,289,100.0,2015149102810,0.9
MCD15A3H,Lai_500m,A2002193,2002-07-12,0.4,3.8,327.3,3.4,1.1325,0.2163,0.4651,289,289,100.0,2015149100830,2
MCD15A3H,Lai_500m,A2002197,2002-07-16,0.3,2.7,265.1999,2.4,0.9176,0.1301,0.3607,289,289,100.0,2015149104053,0.7
MCD15A3H,Lai_500m,A2002201,2002-07-20,0.3,1.7,242.2999,1.4,0.8384,0.0929,0.3048,289,289,100.0,2015149084303,0.5
MCD15A3H,Lai_500m,A2002205,2002-07-24,0.3,2.0,250.8,1.7,0.8678,0.1252,0.3539,289,289,100.0,2015149104741,0.5
MCD15A3H,Lai_500m,A2002209,2002-07-28,0.3,2.3,231.0001,2.0,0.7993,0.1266,0.3559,289,289,100.0,2015149081614,0.5
MCD15A3H,Lai_500m,A2002217,2002-08-05,0.1,2.8,227.6,2.7,0.7875,0.1356,0.3683,289,289,100.0,2015149081753,0.5
MCD15A3H,Lai_500m,A2002221,2002-08-09,0.3,1.7,229.8,1.4,0.7952,0.0848,0.2911,289,289,100.0,2015149203558,0.5
MCD15A3H,Lai_500m,A2002225,2002-08-13,0.3,1.7,223.9001,1.4,0.7747,0.0831,0.2882,289,289,100.0,2015150074830,0.5
MCD15A3H,Lai_500m,A2002229,2002-08-17,0.3,2.0,241.2001,1.7,0.8346,0.0962,0.3102,289,289,100.0,2015150110554,0.5
MCD15A3H,Lai_500m,A2002233,2002-08-21,0.3,1.9,241.2,1.6,0.8346,0.1093,0.3305,289,289,100.0,2015150100833,0.6
MCD15A3H,Lai_500m,A2002237,2002-08-25,0.3,2.0,293.3,1.7,1.0149,0.1196,0.3458,289,289,100.0,2015150122125,0.7
MCD15A3H,Lai_500m,A2002241,2002-08-29,0.4,2.0,264.4001,1.6,0.9149,0.0953,0.3087,289,289,100.0,2015150104455,1
MCD15A3H,Lai_500m,A2002245,2002-09-02,0.4,3.2,261.2,2.8,0.9038,0.1174,0.3426,289,289,100.0,2015150120656,0.7
MCD15A3H,Lai_500m,A2002249,2002-09-06,0.3,2.2,233.3,1.9,0.8073,0.0875,0.2958,289,289,100.0,2015150102136,0.8
MCD15A3H,Lai_500m,A2002253,2002-09-10,0.2,1.9,221.4,1.7,0.7661,0.0875,0.2958,289,289,100.0,2015150235054,1
MCD15A3H,Lai_500m,A2002257,2002-09-14,0.3,1.6,192.0002,1.3,0.6644,0.0741,0.2723,289,289,100.0,2015151041128,0.3
MCD15A3H,Lai_500m,A2002261,2002-09-18,0.3,1.6,179.5,1.3,0.6211,0.0544,0.2332,289,289,100.0,2015151113112,0.5
MCD15A3H,Lai_500m,A2002265,2002-09-22,0.3,1.4,170.3,1.1,0.5893,0.0453,0.2129,289,289,100.0,2015151071512,0.5
MCD15A3H,Lai_500m,A2002269,2002-09-26,0.3,1.4,161.2001,1.1,0.5578,0.0438,0.2092,289,289,100.0,2015151133529,0.5
