product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,0.4,64.0001,0.2,0.2215,0.0022,0.0473,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,0.4,68.4001,0.2,0.2367,0.0032,0.0568,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,0.6,67.3001,0.5,0.2329,0.0046,0.068,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,0.6,65.5001,0.5,0.2266,0.004,0.0629,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,0.5,70.6001,0.3,0.2443,0.0038,0.0615,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,0.5,78.5,0.3,0.2716,0.0052,0.0722,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,0.6,53.6999,0.5,0.2685,0.0206,0.1434,289,200,69.2,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,1.5,170.3998,1.3,0.5896,0.0591,0.243,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.5,1.2,208.2999,0.7,0.7208,0.0282,0.1678,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.4,1.1,209.4997,0.7,0.7249,0.0179,0.1339,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,1.8,261.5,1.3,0.9048,0.0612,0.2473,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,1.6,239.1999,1.1,0.8277,0.033,0.1817,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.5,1.1,202.8998,0.6,0.7021,0.0138,0.1176,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.3,1,180.8999,0.7,0.626,0.0135,0.1164,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.4,1.9,181.2999,1.5,0.6273,0.0182,0.1351,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1.3,167.9999,1.2,0.6109,0.0441,0.21,289,275,95.16,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.5,1.6,254.9,1.1,0.882,0.0386,0.1966,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.4,2.4,240.0997,2,0.8308,0.047,0.2167,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,1.4,222.1998,1.1,0.7689,0.0389,0.1972,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,1,168.9998,0.7,0.5848,0.0171,0.1306,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,1.9,166.3999,1.7,0.5758,0.0265,0.1627,289,289,100,2.01515E+12,0.5
