product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,6.7,697.9,6.4,2.4925,1.5381,1.2402,289,280,96.89,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,6.8,700.1998,6.3,2.483,1.4538,1.2057,289,282,97.58,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.4,6.7,622.3,6.3,2.2963,1.2184,1.1038,289,271,93.77,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,6.7,643.3,6.4,2.3224,1.0547,1.027,289,277,95.85,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.5,6.8,686.2001,6.3,2.5321,1.3786,1.1742,289,271,93.77,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.4,6.9,604.0001,6.5,2.1884,0.8928,0.9449,289,276,95.5,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.4,5.7,498.9999,5.3,1.8902,0.5516,0.7427,289,264,91.35,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.4,6.6,472.9002,6.2,1.7778,0.6132,0.7831,289,266,92.04,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.5,6.5,558.3999,6,1.9801,0.7464,0.864,289,282,97.58,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,6.2,530.6002,5.7,1.8816,0.631,0.7944,289,282,97.58,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,5.2,487.9002,4.7,1.7301,0.4358,0.6601,289,282,97.58,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,5.9,484.6999,5.4,1.7188,0.6261,0.7913,289,282,97.58,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.5,3.4,422.1001,2.9,1.4968,0.3422,0.585,289,282,97.58,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.5,3.8,390.9002,3.3,1.3862,0.3333,0.5773,289,282,97.58,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,3.7,362.7001,3.4,1.2862,0.3007,0.5484,289,282,97.58,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.3,2.7,310.4,2.4,1.1007,0.2646,0.5144,289,282,97.58,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.2,2.7,263.7998,2.5,0.9355,0.1852,0.4303,289,282,97.58,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,2.2,239.8999,1.9,0.8507,0.1503,0.3877,289,282,97.58,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,2.9,214.9,2.7,0.7621,0.1228,0.3504,289,282,97.58,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,2.4,198.3,2.1,0.7032,0.1029,0.3207,289,282,97.58,2.01515E+12,0.6
