product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,4.4,519.9001,4.1,1.9619,0.3502,0.5918,289,265,91.7,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002189,08/07/2002,1,6,645.0002,5,2.2318,0.3748,0.6122,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.1,4.4,572.1,3.3,1.9796,0.2238,0.473,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.9,5.6,565.1004,4.7,1.9554,0.267,0.5167,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.4,5.5,550.8001,5.1,1.9192,0.356,0.5966,289,287,99.31,2.01515E+12,2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,3.4,453.6999,3.1,1.7723,0.2635,0.5133,289,256,88.58,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002209,28/07/2002,1,2.6,503.6,1.6,1.7986,0.1414,0.3761,289,280,96.89,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,2.8,497.1999,2.1,1.7446,0.126,0.3549,289,285,98.62,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.9,5.5,621.5001,4.6,2.1505,0.3871,0.6221,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002225,13/08/2002,1.1,6.3,667.8995,5.2,2.3111,0.2822,0.5312,289,289,100,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.8,6,651.6995,5.2,2.255,0.2452,0.4952,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.6,6.6,512.7,6,1.8442,0.3918,0.626,289,278,96.19,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.8,6,626.0997,5.2,2.1664,0.3808,0.6171,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.7,3.2,564.1995,2.5,1.9522,0.1614,0.4017,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.9,3.6,639.3995,2.7,2.2125,0.2396,0.4895,289,289,100,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.9,6.2,481.2004,5.3,1.6651,0.2381,0.4879,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.8,3.6,514.1996,2.8,1.7792,0.2153,0.464,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.9,2.9,547.8002,2,1.8955,0.1429,0.378,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.7,3.1,524.7003,2.4,1.8156,0.1432,0.3784,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.8,2.3,415.5997,1.5,1.4381,0.0248,0.1576,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.5,3.3,506.5003,2.8,1.7648,0.2029,0.4505,289,287,99.31,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.5,2.5,377.0999,2,1.4124,0.1376,0.371,289,267,92.39,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.7,2.6,430.0002,1.9,1.4879,0.0993,0.3152,289,289,100,2.01515E+12,1.6
