product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.1,5.2,780.2001,4.1,2.7185,0.4891,0.6994,289,287,99.31,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.1,6.5,633.1999,5.4,2.6058,0.8493,0.9216,289,243,84.08,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.3,6.9,906.0001,5.6,3.1458,1.0124,1.0062,289,288,99.65,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.3,3.1,428.4001,1.8,1.9297,0.107,0.327,289,222,76.82,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.6,5.8,808.8998,4.2,2.8684,0.5624,0.75,289,282,97.58,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.5,6.6,831.8003,5.1,2.8983,0.8596,0.9272,289,287,99.31,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.5,6.6,828.2003,5.1,2.9162,0.8103,0.9002,289,284,98.27,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.3,2.9,376.7001,1.6,1.744,0.1065,0.3264,289,216,74.74,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.8,6,905.4005,4.2,3.1438,0.7029,0.8384,289,288,99.65,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002225,13/08/2002,1.6,6.3,810.8003,4.7,2.8752,0.6434,0.8021,289,282,97.58,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.4,6.1,765.4006,4.7,2.8667,1.2957,1.1383,289,267,92.39,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.7,4.4,715.7999,2.7,2.5656,0.251,0.501,289,279,96.54,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.1,6.6,827.6002,5.5,2.9141,0.9131,0.9556,289,284,98.27,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.6,6.4,1006.0005,4.8,3.5175,1.9714,1.4041,289,286,98.96,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.2,6.4,672.6002,5.2,2.7121,1.999,1.4138,289,248,85.81,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.6,6.4,896.8003,5.8,3.1577,1.9322,1.39,289,284,98.27,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.5,6.2,857.9997,4.7,3.0426,1.1144,1.0557,289,282,97.58,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002257,14/09/2002,1.4,6.4,936.5995,5,3.2521,1.9609,1.4003,289,288,99.65,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.4,6.3,847.6,4.9,3.0164,0.9977,0.9989,289,281,97.23,2.01515E+12,2
MCD15A3H,Lai_500m,A2002265,22/09/2002,1.4,5.7,752.2004,4.3,2.7155,1.7038,1.3053,289,277,95.85,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.7,6.6,815.8002,5.9,2.8326,0.963,0.9813,289,288,99.65,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002273,30/09/2002,1.4,6.4,896.7002,5,3.1135,1.3893,1.1787,289,288,99.65,2.01515E+12,2
MCD15A3H,Lai_500m,A2002277,04/10/2002,1.1,6.7,1013.3998,5.6,3.5434,1.5591,1.2486,289,286,98.96,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002281,08/10/2002,1.3,6.5,600.2,5.2,2.2066,0.4759,0.6899,289,272,94.12,2.01515E+12,2
MCD15A3H,Lai_500m,A2002285,12/10/2002,1.2,6.1,885.0002,4.9,3.0729,0.8577,0.9261,289,288,99.65,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002289,16/10/2002,1.2,6.6,831.5993,5.4,2.8875,1.0618,1.0304,289,288,99.65,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002293,20/10/2002,1.2,6.1,822.0001,4.9,2.8542,1.0115,1.0057,289,288,99.65,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.7,5.4,703.4,4.7,2.4424,0.3586,0.5988,289,288,99.65,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002301,28/10/2002,1.1,6.1,698.7,5,2.426,0.6034,0.7768,289,288,99.65,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.9,4.7,647.0999,3.8,2.2469,0.3742,0.6117,289,288,99.65,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.5,6.2,584.8997,5.7,2.038,0.7266,0.8524,289,287,99.31,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,1.3,3.2,506.0999,1.9,1.7573,0.1524,0.3904,289,288,99.65,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.7,6.8,751.3998,6.1,2.6365,0.9025,0.95,289,285,98.62,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002321,17/11/2002,1.3,6.5,878.8998,5.2,3.0517,0.8195,0.9053,289,288,99.65,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.5,6.5,692.0998,6,2.437,0.6153,0.7844,289,284,98.27,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002329,25/11/2002,1.4,6.2,1040.1001,4.8,3.624,1.2006,1.0957,289,287,99.31,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002333,29/11/2002,1,6.7,744.1002,5.7,2.667,0.8622,0.9286,289,279,96.54,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002337,03/12/2002,1.1,6.7,852.6999,5.6,3.2056,1.0341,1.0169,289,266,92.04,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.8,6.7,716.9001,5.9,2.5788,0.9733,0.9866,289,278,96.19,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.6,5.9,434.4999,5.3,2.2397,1.381,1.1751,289,194,67.13,2.01515E+12,2
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.2,1.3,74.9,1.1,0.5718,0.0471,0.2169,289,131,45.33,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.5,2.7,164.8,2.2,1.2118,0.2527,0.5026,289,136,47.06,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.5,5.3,217.7,4.8,1.4513,0.4564,0.6755,289,150,51.9,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
