product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.9,3.1,429.2003,2.2,1.4851,0.107,0.3271,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.7,4.6,450.4003,3.9,1.5585,0.1412,0.3757,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,2.7,528.8004,1.7,1.8298,0.0927,0.3044,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,4,525.3,3.7,1.8964,0.3775,0.6144,289,277,95.85,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.8,6.6,654.5001,5.8,2.3046,0.4571,0.6761,289,284,98.27,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.7,3.4,43.2,2.7,1.3935,0.4296,0.6555,289,31,10.73,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.5,4.3,756.9,2.8,2.619,0.1495,0.3867,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.6,3.6,695.8998,2,2.408,0.138,0.3714,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.4,6,782.3999,4.6,2.7073,0.5023,0.7087,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,2.8,8.4,2.2,1.2,0.48,0.6928,289,7,2.42,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,1,5.8,657.1002,4.8,2.6496,0.7656,0.875,289,248,85.81,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,5.5,272.8999,5,1.8951,1.3014,1.1408,289,144,49.83,2.01515E+12,1
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.4,6.6,856.1003,5.2,2.9623,0.7454,0.8634,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.6,6.4,789.1003,4.8,2.7305,0.5248,0.7244,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.3,4.3,730.6999,3,2.5284,0.3254,0.5704,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002249,06/09/2002,1,2.8,521.6003,1.8,1.8048,0.0737,0.2716,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.8,2.7,427.1002,1.9,1.4779,0.102,0.3194,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.5,1.9,326.5,1.4,1.1298,0.0547,0.2338,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,2.4,232.5003,2.3,0.8045,0.1544,0.3929,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,2.3,254.5001,2,0.8806,0.1133,0.3365,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,1.4,139.5002,1.1,0.4827,0.0358,0.1893,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,1.6,123.8003,1.4,0.4284,0.0305,0.1748,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,1,88.8001,0.9,0.3073,0.0102,0.1008,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,0.6,86.6,0.5,0.2997,0.0049,0.0703,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,0.5,85.2001,0.4,0.2948,0.0022,0.0464,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,0.5,65.4,0.4,0.2263,0.0047,0.0686,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.4,66.4,0.3,0.2298,0.0033,0.0572,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.3,57.9,0.2,0.2053,0.004,0.0636,289,282,97.58,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,0.3,39.1,0.2,0.1362,0.0035,0.0591,289,287,99.31,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,0.3,48.3,0.2,0.1671,0.0045,0.067,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,0.3,32.8001,0.2,0.1135,0.0021,0.0462,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.3,17.4,0.2,0.1018,0.0003,0.017,289,171,59.17,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.3,31.9001,0.2,0.1104,0.0016,0.0394,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,0.3,33.3001,0.2,0.1152,0.002,0.0445,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.3,31.6001,0.2,0.1093,0.0013,0.0365,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,0.3,33.9001,0.2,0.1173,0.0022,0.0468,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,0.3,30.6001,0.2,0.1059,0.0008,0.0288,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,0.3,31.1001,0.2,0.1076,0.0012,0.0345,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.1,0.3,30.2001,0.2,0.1045,0.0005,0.0223,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.1,0.3,28.2001,0.2,0.1041,0.0005,0.0215,289,271,93.77,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,0.1,28.9001,0,0.1,0,0,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.1,0.2,26.1001,0.1,0.1004,0,0.0062,289,260,89.97,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.1,0.2,28.7001,0.1,0.1003,0,0.0059,289,286,98.96,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.1,0.1,8.8,0,0.1,0,0,289,88,30.45,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.1,0.1,28.6001,0,0.1,0,0,289,286,98.96,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.1,0.1,28.5001,0,0.1,0,0,289,285,98.62,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.1,0.1,28.9001,0,0.1,0,0,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.1,0.3,29.1001,0.2,0.1007,0.0001,0.0117,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.1,0.3,31.5001,0.2,0.1098,0.0012,0.0351,289,287,99.31,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003017,17/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003021,21/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003025,25/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003029,29/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003033,02/02/2003,0.1,0.1,28.5001,0,0.1,0,0,289,285,98.62,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.1,0.2,29.5001,0.1,0.1021,0.0002,0.0143,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.1,0.1,28.9001,0,0.1,0,0,289,289,100,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003045,14/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0.1,0.6,31.0001,0.5,0.1073,0.003,0.0544,289,289,100,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003053,22/02/2003,0.1,0.2,24.0001,0.1,0.1004,0,0.0065,289,239,82.7,2.01516E+12,F
MCD15A3H,Lai_500m,A2003057,26/02/2003,0.1,0.2,24.4001,0.1,0.1004,0,0.0064,289,243,84.08,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003061,02/03/2003,0.1,0.1,27.6001,0,0.1,0,0,289,276,95.5,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003065,06/03/2003,0.1,0.2,31.5001,0.1,0.109,0.0008,0.0286,289,289,100,2.01516E+12,0.2
MCD15A3H,Lai_500m,A2003069,10/03/2003,0.1,0.3,32.3001,0.2,0.1118,0.0011,0.0333,289,289,100,2.01516E+12,0.2
MCD15A3H,Lai_500m,A2003073,14/03/2003,0.1,0.2,31.1001,0.1,0.1076,0.0007,0.0265,289,289,100,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003077,18/03/2003,0.1,0.5,49.0001,0.4,0.1696,0.0039,0.0626,289,289,100,2.01516E+12,0.2
MCD15A3H,Lai_500m,A2003081,22/03/2003,0.1,0.3,56.7001,0.2,0.1962,0.0015,0.0384,289,289,100,2.01516E+12,0.2
MCD15A3H,Lai_500m,A2003085,26/03/2003,0.2,0.3,67.6,0.1,0.2339,0.0022,0.0473,289,289,100,2.01516E+12,0.3
MCD15A3H,Lai_500m,A2003089,30/03/2003,0.2,0.6,70.5,0.4,0.2439,0.0034,0.058,289,289,100,2.01516E+12,0.3
MCD15A3H,Lai_500m,A2003093,03/04/2003,0.1,0.3,31.6001,0.2,0.1093,0.0013,0.0355,289,289,100,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003097,07/04/2003,0.1,0.6,65.3,0.5,0.226,0.0051,0.0714,289,289,100,2.01516E+12,0.3
MCD15A3H,Lai_500m,A2003101,11/04/2003,0.2,0.6,89.2001,0.4,0.3087,0.0038,0.0614,289,289,100,2.01516E+12,0.4
