product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,0.5,15.4,0.4,0.3348,0.0205,0.1433,289,46,15.92,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,0.9,22.4,0.8,0.487,0.0646,0.2542,289,46,15.92,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,1.1,31.7,0.9,0.7372,0.0688,0.2624,289,43,14.88,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,1.6,46.2,1.5,1.0043,0.1678,0.4096,289,46,15.92,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,1.4,37,1.3,0.8043,0.1052,0.3243,289,46,15.92,2.01515E+12,1
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.1,0.9,21.5,0.8,0.4674,0.04,0.2001,289,46,15.92,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,1.2,28.2,1.1,0.613,0.0733,0.2708,289,46,15.92,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,0.7,12.6,0.6,0.3073,0.027,0.1644,289,41,14.19,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.1,1,31.2,0.9,0.6783,0.0717,0.2678,289,46,15.92,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,0.8,14,0.7,0.3111,0.0334,0.1828,289,45,15.57,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,0.3,9.5,0.2,0.2065,0.0063,0.0791,289,46,15.92,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,1,16.5,0.9,0.3587,0.0516,0.2271,289,46,15.92,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.1,0.4,8.2,0.3,0.1822,0.0072,0.0851,289,45,15.57,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,0.7,12.5,0.6,0.2778,0.0462,0.2149,289,45,15.57,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,0.6,9.9,0.5,0.2676,0.0238,0.1543,289,37,12.8,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,0.6,16.4,0.5,0.3565,0.0346,0.1861,289,46,15.92,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,0.1,3.5,0,0.1,0,0,289,35,12.11,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.1,0.1,4.6,0,0.1,0,0,289,46,15.92,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002261,18/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002273,30/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002277,04/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002281,08/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002289,16/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
