product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,2.9,223.6999,2.7,0.9439,0.1939,0.4404,289,237,82.01,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,3.4,444.2002,3.1,1.537,0.2391,0.489,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.3,3.5,436.9999,3.2,1.5121,0.2345,0.4842,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,3.4,411.4998,3.1,1.4239,0.1699,0.4122,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,2.9,417.7002,2.7,1.4554,0.28,0.5291,289,287,99.31,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,2.6,419.4999,2.4,1.4566,0.2736,0.5231,289,288,99.65,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,3,427.7999,2.8,1.4803,0.2295,0.4791,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,3.2,252.7,2.9,1.0442,0.2222,0.4714,289,242,83.74,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.3,2.5,450.3001,2.2,1.5581,0.2496,0.4996,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,2.1,406.0997,1.8,1.4052,0.1605,0.4006,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,3.4,438.1999,3.2,1.5163,0.2176,0.4664,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,4,373.4,3.7,1.348,0.2881,0.5368,289,277,95.85,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,2.5,400.1003,2.2,1.3844,0.2926,0.5409,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,2.7,386.3999,2.5,1.3463,0.226,0.4754,289,287,99.31,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,2.6,395.7998,2.4,1.3695,0.2281,0.4776,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1.8,255.6,1.7,0.9907,0.22,0.469,289,258,89.27,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,3.4,110.3,3.3,1.0505,0.4743,0.6887,289,105,36.33,2.01515E+12,F
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,2.2,354.5999,1.9,1.227,0.1683,0.4102,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,2,369.0002,1.7,1.2768,0.1578,0.3972,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,1.9,361.3,1.7,1.2502,0.173,0.416,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,2.4,335.6,2.2,1.1612,0.1539,0.3923,289,289,100,2.01515E+12,1.4
