product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.5,3.2,515.9,2.7,1.7851,0.2638,0.5136,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.4,4.1,653.3,3.7,2.2606,0.4542,0.674,289,289,100,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.5,4,622.5999,3.5,2.1543,0.4254,0.6522,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.5,5.8,534.6,5.3,1.944,0.5813,0.7624,289,275,95.16,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.5,4.4,670.0999,3.9,2.3187,0.5362,0.7323,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,4.1,655.8,3.6,2.2692,0.5007,0.7076,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.5,4.4,569.3999,3.9,1.9702,0.3298,0.5743,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.4,3.2,446.8,2.8,1.59,0.1872,0.4326,289,281,97.23,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.5,4,676.5002,3.5,2.3408,0.5277,0.7265,289,289,100,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.7,4.5,585.1,3.8,2.0246,0.3729,0.6106,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,6,608.2001,5.5,2.1045,0.8788,0.9375,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,4.1,584.6999,3.6,2.0232,0.3464,0.5886,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.4,4,606.4,3.6,2.0983,0.3488,0.5906,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.5,3.5,527.6998,3,1.826,0.2983,0.5462,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,5.1,650.3999,4.8,2.2505,0.806,0.8978,289,289,100,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.5,5.9,697.7002,5.4,2.4142,1.1624,1.0781,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.5,3.6,583.1,3.1,2.0176,0.3719,0.6098,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.4,5.7,616.5001,5.3,2.1332,0.7709,0.878,289,289,100,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.5,5.1,658.6998,4.6,2.2792,0.7333,0.8564,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.4,6.5,630.0002,6.1,2.1799,0.9154,0.9568,289,289,100,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,3,436.9001,2.7,1.5118,0.2473,0.4973,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.5,3.2,500.3002,2.7,1.7311,0.2988,0.5466,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.4,5.9,662.6996,5.5,2.2931,0.8174,0.9041,289,289,100,2.01515E+12,3.3
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.8,3.6,587.9002,2.8,2.0343,0.3993,0.6319,289,289,100,2.01515E+12,3.5
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.4,3.5,571,3.1,1.9758,0.3666,0.6055,289,289,100,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,4.4,512.8,4.1,1.7744,0.4627,0.6802,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,6.4,570.4996,6.1,1.974,0.7958,0.8921,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.3,5.5,495.2999,5.2,1.7138,0.544,0.7375,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.3,2.9,480.9,2.6,1.664,0.3548,0.5956,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.3,2.6,375.1999,2.3,1.2983,0.1647,0.4058,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.3,2.3,357.8998,2,1.2647,0.155,0.3937,289,283,97.92,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.3,3,423.2999,2.7,1.4647,0.306,0.5532,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.3,4.2,499.4998,3.9,1.7284,0.3422,0.585,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.4,6.1,649.1,5.7,2.246,1.164,1.0789,289,289,100,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.5,5.2,613.2999,4.7,2.1221,0.8686,0.932,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.3,5.2,600.2999,4.9,2.0772,0.8741,0.935,289,289,100,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.3,4.7,408.7001,4.4,1.4142,0.509,0.7134,289,289,100,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.4,5.7,577.7,5.3,2.0342,0.9321,0.9655,289,284,98.27,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.3,5,545.0996,4.7,2.034,1.031,1.0154,289,268,92.73,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.3,2.6,276.8,2.3,1.1729,0.181,0.4254,289,236,81.66,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,1.1,83.3,1,0.4407,0.0516,0.2272,289,189,65.4,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.1,0.8,33.5,0.7,0.3073,0.044,0.2097,289,109,37.72,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.1,0.5,5,0.4,0.2778,0.014,0.1181,289,18,6.23,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.1,1.5,17.9,1.4,0.3729,0.0611,0.2473,289,48,16.61,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.1,1.4,139.1,1.3,0.756,0.0868,0.2946,289,184,63.67,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.1,1.5,144.2,1.4,0.8147,0.089,0.2984,289,177,61.25,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.2,2.9,204.3,2.7,1.0114,0.2337,0.4834,289,202,69.9,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.1,5.6,200.9,5.5,0.9567,0.2961,0.5441,289,210,72.66,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.2,3.8,245.0999,3.6,1.1898,0.4427,0.6653,289,206,71.28,2.01515E+12,F
