product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.3,6.8,1335.8999,5.5,5.0034,0.698,0.8355,289,267,92.39,2.01515E+12,4
MCD15A3H,Lai_500m,A2002189,08/07/2002,1,6.8,1401,5.8,5.0215,0.9955,0.9977,289,279,96.54,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,6.7,1168,5.7,4.7673,1.9346,1.3909,289,245,84.78,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.4,6.6,1244.8002,5.2,4.5101,1.1913,1.0915,289,276,95.5,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.2,6.6,1302.6996,5.4,4.8974,0.6905,0.831,289,266,92.04,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,4.7,494.9001,4.2,2.1996,0.7272,0.8527,289,225,77.85,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.8,6.7,1115.4995,5.9,4.7468,1.153,1.0738,289,235,81.31,2.01515E+12,4.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.4,6.8,943.1994,6.4,4.2486,2.0545,1.4333,289,222,76.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.7,6.8,1302.1997,6.1,4.6842,1.1518,1.0732,289,278,96.19,2.01515E+12,3.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,6.4,1030.9003,5.9,4.5215,1.3542,1.1637,289,228,78.89,2.01515E+12,5
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.8,6.6,1102.3002,5.8,4.1131,1.7509,1.3232,289,268,92.73,2.01515E+12,6
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,6.3,872.7999,6.1,3.4362,1.6178,1.2719,289,254,87.89,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.6,5.9,863.1002,5.3,4.1495,1.5513,1.2455,289,208,71.97,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,0.2,0.3,0.1,0.15,0.0025,0.05,289,2,0.69,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,1,6.4,951.7004,5.4,4.1741,0.8983,0.9478,289,228,78.89,2.01515E+12,F
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.3,6.4,1220.6006,5.1,4.3749,0.6926,0.8322,289,279,96.54,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.7,6.1,1121.1006,5.4,4.1066,0.7666,0.8755,289,273,94.46,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.4,5.7,808.2001,5.3,3.7944,1.5121,1.2297,289,213,73.7,2.01515E+12,F
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.8,6.6,921.3005,5.8,3.5848,1.4119,1.1882,289,257,88.93,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.5,6.6,1049.9,6.1,3.7631,1.1319,1.0639,289,279,96.54,2.01515E+12,3.6
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.5,6.2,919.8998,5.7,3.5655,1.2056,1.098,289,258,89.27,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.7,6.5,1010.8997,5.8,3.5595,1.2322,1.11,289,284,98.27,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.5,6.3,503.3001,5.8,2.1059,1.7139,1.3091,289,239,82.7,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.2,2.6,314.3001,2.4,1.186,0.1198,0.3461,289,265,91.7,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,6.8,826.0001,6.5,3.048,1.0164,1.0082,289,271,93.77,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.6,5.9,741.1,5.3,2.6095,0.8685,0.9319,289,284,98.27,2.01515E+12,3.7
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.5,6.3,663.4,5.8,2.4124,1.3092,1.1442,289,275,95.16,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,3.1,221.7,3,1.0458,0.4511,0.6716,289,212,73.36,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.3,2,318.2998,1.7,1.1368,0.0974,0.3121,289,280,96.89,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.5,5.1,399.4003,4.6,1.4163,0.2033,0.4509,289,282,97.58,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.3,5.6,400.2,5.3,1.4092,0.3225,0.5678,289,284,98.27,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.2,0.8,32.4,0.6,0.5586,0.0221,0.1486,289,58,20.07,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.2,1.9,276.6997,1.7,0.9743,0.0687,0.2621,289,284,98.27,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,2,280.6997,1.9,0.9884,0.0748,0.2736,289,284,98.27,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.3,2.8,336.0002,2.5,1.1831,0.1253,0.3539,289,284,98.27,2.01515E+12,1.4
