product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,0.5,63.7001,0.3,0.2204,0.0021,0.0459,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,0.5,62.4001,0.4,0.2159,0.0021,0.0458,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,0.5,65.4001,0.3,0.2263,0.0026,0.0513,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,0.5,63.0001,0.4,0.218,0.0026,0.0508,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,0.4,63.8001,0.2,0.2208,0.0023,0.0483,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,0.5,62.0001,0.3,0.2145,0.0021,0.0463,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,0.4,61.3001,0.2,0.2121,0.0012,0.0347,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,0.5,61.2001,0.3,0.2118,0.0017,0.0408,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,0.5,61.8001,0.3,0.2138,0.002,0.045,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,0.5,64.4001,0.3,0.2228,0.0023,0.0481,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,0.6,62.0001,0.5,0.2145,0.0027,0.0519,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,0.5,62.1001,0.3,0.2149,0.002,0.0443,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,0.4,60.2001,0.2,0.2083,0.001,0.0322,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,0.5,61.9001,0.4,0.2142,0.0028,0.053,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,0.5,63.3001,0.3,0.219,0.0024,0.0487,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,0.6,60.5001,0.5,0.2093,0.0024,0.0487,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,0.3,37.2,0.2,0.1388,0.0035,0.0591,289,268,92.73,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,0.6,63.7001,0.4,0.2204,0.003,0.0549,289,289,100,2.01515E+12,0.2
