product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,0.4,74.8,0.2,0.2588,0.0028,0.0533,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,0.4,77.2001,0.2,0.2671,0.0028,0.0525,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,0.4,74.6001,0.2,0.2581,0.0031,0.0559,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.2,0.4,75.1,0.2,0.2599,0.0025,0.0504,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,0.4,73.1,0.2,0.2529,0.0026,0.0506,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,0.4,70.3001,0.2,0.2433,0.0025,0.0502,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,0.4,67.3001,0.2,0.2329,0.0023,0.0484,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,0.3,66.9001,0.1,0.2315,0.0022,0.0464,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,0.3,69,0.1,0.2388,0.0024,0.0487,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,0.3,67.7001,0.1,0.2343,0.0023,0.0475,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,0.4,69.1,0.2,0.2391,0.0025,0.0495,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,0.3,71.3001,0.1,0.2467,0.0025,0.0499,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,0.3,68.0001,0.1,0.2353,0.0023,0.0478,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,0.3,68.1,0.1,0.2356,0.0023,0.0479,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,0.3,67.2001,0.1,0.2325,0.0022,0.0468,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,0.3,63.2001,0.1,0.2187,0.0015,0.039,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.2,0.3,63.4001,0.1,0.2194,0.0016,0.0395,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,0.3,62.5001,0.1,0.2163,0.0014,0.0369,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,0.3,61.8001,0.1,0.2138,0.0012,0.0345,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,0.3,63.6001,0.1,0.2201,0.0016,0.0401,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,0.5,62.6001,0.4,0.2166,0.0022,0.0471,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,0.3,61.5001,0.1,0.2128,0.0011,0.0334,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,0.3,62.9001,0.2,0.2176,0.0015,0.039,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,0.3,63.7001,0.2,0.2204,0.0018,0.042,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.2,0.3,64.1001,0.1,0.2218,0.0017,0.0413,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,0.3,64.6001,0.1,0.2235,0.0018,0.0424,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.3,59.9001,0.2,0.2073,0.0008,0.0285,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.6,60.9001,0.5,0.2107,0.0031,0.0557,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,0.4,60.5001,0.3,0.2093,0.0012,0.0345,289,289,100,2.01515E+12,0.2
