product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.4,6.6,949.5997,6.2,3.7984,2.309,1.5195,289,250,86.51,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.1,6.6,614.1001,5.5,3.4695,2.3227,1.524,289,177,61.25,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,6.6,221.7,6.5,2.737,4.1868,2.0462,289,81,28.03,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.7,6.2,1034.5001,4.5,3.9335,0.9949,0.9975,289,263,91,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,6.8,571.4001,6.7,2.8148,3.4606,1.8603,289,203,70.24,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,6.8,980.1998,6.3,4.1711,1.5634,1.2504,289,235,81.31,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.5,6.6,965.8998,5.1,3.7438,1.7768,1.333,289,258,89.27,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.4,6.8,1058.1002,5.4,3.9189,2.0734,1.4399,289,270,93.43,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.6,6.8,1234.6001,5.2,4.539,1.7311,1.3157,289,272,94.12,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,6.6,881.7997,6,3.5131,1.7403,1.3192,289,251,86.85,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.5,6.8,1101.2996,5.3,4.1093,1.7464,1.3215,289,268,92.73,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,1,6.8,1199.4999,5.8,4.4591,1.7499,1.3228,289,269,93.08,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,1,6.8,656,5.8,4.0245,2.8734,1.6951,289,163,56.4,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.4,6.8,1145.0001,5.4,4.2096,1.0915,1.0447,289,272,94.12,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.6,6.6,1077.7998,5,3.9625,1.1192,1.0579,289,272,94.12,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.2,6.5,1096.3999,5.3,4.0309,1.1316,1.0638,289,272,94.12,2.01515E+12,6
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,4.9,124.2,4.7,1.2297,0.5377,0.7333,289,101,34.95,2.01515E+12,F
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.6,6.8,863.6991,6.2,3.3871,1.8894,1.3745,289,255,88.24,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.5,5.5,604.1999,5,2.7339,2.1476,1.4655,289,221,76.47,2.01515E+12,3.6
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,5,239.2,4.8,1.196,0.7773,0.8816,289,200,69.2,2.01515E+12,F
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.7,6.3,480.2999,5.6,1.8056,1.1291,1.0626,289,266,92.04,2.01515E+12,3.8
MCD15A3H,Lai_500m,A2002277,04/10/2002,1.3,6.6,928.6995,5.3,3.4143,1.477,1.2153,289,272,94.12,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,2.5,91.7,2.4,0.9079,0.1809,0.4254,289,101,34.95,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.7,5.3,774.2994,4.6,3.0484,1.5974,1.2639,289,254,87.89,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002289,16/10/2002,1,5,757.9,4,2.7864,1.1067,1.052,289,272,94.12,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.9,6.1,747.7999,5.2,2.7493,1.0041,1.0021,289,272,94.12,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.3,15.6,0.2,0.1857,0.0031,0.0559,289,84,29.07,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,4.5,83.5,4.4,1.0438,0.665,0.8155,289,80,27.68,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.8,5,476.4,4.2,1.7515,0.3979,0.6308,289,272,94.12,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.7,2.9,359.1998,2.2,1.3206,0.0669,0.2587,289,272,94.12,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.2,2.4,152.8,2.2,0.7602,0.1418,0.3766,289,201,69.55,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.3,1.8,201.4001,1.5,0.7404,0.0355,0.1884,289,272,94.12,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.7,2.8,258.9997,2.1,0.9522,0.0504,0.2246,289,272,94.12,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.6,2.4,244.9998,1.8,0.9007,0.0527,0.2296,289,272,94.12,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.4,2,207.9999,1.6,0.7647,0.0331,0.1819,289,272,94.12,2.01515E+12,2
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.6,2.3,231.7998,1.7,0.8522,0.0401,0.2002,289,272,94.12,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.4,1.9,213.7999,1.5,0.786,0.0294,0.1716,289,272,94.12,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.3,1.6,141.3,1.3,0.5195,0.0183,0.1354,289,272,94.12,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.3,1.9,205.6999,1.6,0.7562,0.0325,0.1804,289,272,94.12,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.5,2.3,204.7999,1.8,0.7529,0.0312,0.1768,289,272,94.12,2.01515E+12,2.3
