product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,2.5,178.1,2.4,0.6184,0.3794,0.616,289,288,99.65,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,0.8,33.2,0.7,0.1876,0.0113,0.1061,289,177,61.25,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,4,225.8001,3.9,0.784,0.5572,0.7465,289,288,99.65,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,1.6,168,1.5,0.5833,0.1267,0.356,289,288,99.65,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,4.5,215.7,4.4,0.749,0.3499,0.5915,289,288,99.65,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,2.7,222.3,2.5,0.7719,0.2624,0.5123,289,288,99.65,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,1.7,175.4,1.6,0.6133,0.1264,0.3555,289,286,98.96,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,2,131,1.9,0.4549,0.103,0.321,289,288,99.65,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,2.3,185.5999,2.1,0.6652,0.1868,0.4322,289,279,96.54,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,3.4,189.6,3.3,0.6583,0.293,0.5413,289,288,99.65,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,3,181.3999,2.9,0.6299,0.2302,0.4797,289,288,99.65,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,4.5,216,4.4,0.75,0.4319,0.6572,289,288,99.65,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.1,1.5,176.4998,1.4,0.6215,0.0708,0.2662,289,284,98.27,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,2.9,202.2999,2.8,0.7024,0.2595,0.5095,289,288,99.65,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,1.8,126.1,1.7,0.4488,0.1098,0.3313,289,281,97.23,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,1.2,133.5001,1,0.4635,0.0468,0.2162,289,288,99.65,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,0.8,56.4001,0.7,0.2256,0.0131,0.1145,289,250,86.51,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,3.1,212.4999,2.9,0.7378,0.1563,0.3954,289,288,99.65,2.01515E+12,0.3
