product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,1.9,337.9998,1.6,1.1695,0.069,0.2626,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,1.6,300.1998,1.3,1.0388,0.0682,0.2611,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,3.8,351.4,3.6,1.2159,0.1193,0.3454,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,1.8,118.1,1.7,0.6282,0.1845,0.4295,289,188,65.05,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,2.2,276.3,2,0.9798,0.125,0.3536,289,282,97.58,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,2.3,308.4001,2.1,1.0708,0.1703,0.4126,289,288,99.65,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.3,1.5,280.7,1.2,0.9713,0.0653,0.2555,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,2.5,317.5999,2.2,1.099,0.1266,0.3558,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.4,1.8,340.7999,1.4,1.1792,0.0772,0.2779,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.4,2.2,350.3001,1.8,1.2121,0.101,0.3178,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.4,1.9,342.9999,1.5,1.1869,0.0711,0.2667,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.4,1.9,347.6,1.5,1.2028,0.0778,0.2789,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.4,1.7,334.7999,1.3,1.1585,0.0765,0.2767,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.5,1.9,330.7999,1.4,1.1446,0.0751,0.2741,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,1.6,298.8999,1.3,1.0343,0.0908,0.3014,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1.6,87,1.5,0.6042,0.2041,0.4518,289,144,49.83,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,5.7,304.0999,5.4,1.0559,0.2623,0.5121,289,288,99.65,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.4,2.5,296.7,2.1,1.0266,0.1208,0.3476,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.4,2.5,327.8999,2.1,1.1346,0.1311,0.3621,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.5,2.8,332.4998,2.3,1.1505,0.1186,0.3444,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,2.4,244,2.3,0.8592,0.1914,0.4375,289,284,98.27,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.4,2,319.5002,1.6,1.1055,0.1059,0.3255,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.5,1.7,325.8,1.2,1.1273,0.0819,0.2862,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.5,2.2,331.5999,1.7,1.1474,0.1073,0.3275,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.5,1.6,298.9998,1.1,1.0346,0.0869,0.2948,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.5,2.4,320.9001,1.9,1.1104,0.1451,0.3809,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,3,273.5001,2.7,0.9464,0.1646,0.4057,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.3,1.6,236.2999,1.3,0.8176,0.104,0.3225,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.3,2.2,218.0002,1.9,0.7543,0.0889,0.2982,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.3,1.4,233.0999,1.1,0.8066,0.0882,0.2969,289,289,100,2.01515E+12,0.6
