product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.4,6.8,1050.7001,5.4,4.7543,1.618,1.272,289,221,76.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,6.9,697.1003,6.4,3.708,2.4794,1.5746,289,188,65.05,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.7,6.8,643.3002,6.1,4.5303,2.3845,1.5442,289,142,49.13,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.6,6.8,471.6001,6.2,3.8341,3.0115,1.7354,289,123,42.56,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.7,6.6,299.2,5.9,3.74,4.2049,2.0506,289,80,27.68,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.3,6.8,1301.7994,5.5,4.8394,1.564,1.2506,289,269,93.08,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.6,6.7,932.6001,5.1,4.6864,0.6873,0.829,289,199,68.86,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,6.7,736.7004,6,3.9608,2.8364,1.6842,289,186,64.36,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.3,6.8,1207.5,5.5,5.0312,1.3176,1.1479,289,240,83.04,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,6.9,1048.9999,6.4,4.8565,1.5488,1.2445,289,216,74.74,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,1,6.8,1183.1001,5.8,4.6763,1.5789,1.2565,289,253,87.54,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.8,6.9,1158.3993,6.1,4.5074,1.2082,1.0992,289,257,88.93,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.9,6.8,1073.8997,4.9,5.0896,0.6908,0.8311,289,211,73.01,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.2,6.8,1197.7998,5.6,4.6973,1.1197,1.0582,289,255,88.24,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,3.9,108.4,3.6,1.6424,0.8876,0.9421,289,66,22.84,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.8,6.8,1323.4001,5,4.6273,0.7782,0.8822,289,286,98.96,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.2,6.8,1216.6001,5.6,4.5396,0.9247,0.9616,289,268,92.73,2.01515E+12,5
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.8,6.9,889.4001,6.1,3.1317,1.959,1.3996,289,284,98.27,2.01515E+12,3
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.3,6.8,1065.1001,5.5,4.3121,1.3691,1.1701,289,247,85.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,2,5.8,889.0005,3.8,4.3578,0.6419,0.8012,289,204,70.59,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002269,26/09/2002,1.8,6.6,1203.8002,4.8,4.1654,1.1027,1.0501,289,289,100,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.5,6.2,794.7995,5.7,2.7502,1.13,1.063,289,289,100,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002277,04/10/2002,1.3,6.8,945.9998,5.5,3.2734,1.6871,1.2989,289,289,100,2.01515E+12,2.9
