product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.6,3,239.3,2.4,1.3913,0.1908,0.4368,289,172,59.52,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,2.8,206.1,2.5,1.2053,0.1875,0.433,289,171,59.17,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.9,4.1,358.3001,3.2,2.0831,0.3384,0.5817,289,172,59.52,2.01515E+12,3.5
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.4,4.4,260.7,4,1.58,0.7246,0.8513,289,165,57.09,2.01515E+12,1
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.7,4.6,295.4001,3.9,1.7174,0.29,0.5386,289,172,59.52,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,3,230.1,2.5,1.3378,0.1241,0.3523,289,172,59.52,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.7,3.9,323.5,3.2,1.9029,0.2713,0.5209,289,170,58.82,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.8,5.3,342.5,4.5,1.9913,0.4066,0.6377,289,172,59.52,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.7,6.7,436.5,6,2.5378,1.2467,1.1165,289,172,59.52,2.01515E+12,3
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,3,166.3,2.7,1.0729,0.3437,0.5862,289,155,53.63,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,6,397.6,5.5,2.3116,1.1136,1.0553,289,172,59.52,2.01515E+12,3.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,1,25.3,0.9,0.506,0.0494,0.2222,289,50,17.3,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.5,6.1,345.4,5.6,2.0318,1.1825,1.0874,289,170,58.82,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.7,6.6,366.4001,5.9,2.1302,0.7352,0.8575,289,172,59.52,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002245,02/09/2002,1,6.6,394.5001,5.6,2.2936,1.1487,1.0718,289,172,59.52,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.8,2.7,300.3999,1.9,1.7465,0.156,0.3949,289,172,59.52,2.01515E+12,2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.6,3.4,274.5999,2.8,1.5965,0.2529,0.5029,289,172,59.52,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.4,2.8,241.7,2.4,1.4052,0.1443,0.3799,289,172,59.52,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,2.3,199.6,2,1.1605,0.1383,0.3719,289,172,59.52,2.01515E+12,2
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.5,2.5,223,2,1.2965,0.1416,0.3763,289,172,59.52,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.4,1.8,171.6,1.4,0.9977,0.0865,0.2941,289,172,59.52,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,2,171.8,1.8,0.9988,0.1408,0.3753,289,172,59.52,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.2,2.3,162.4,2.1,0.9442,0.1689,0.4109,289,172,59.52,2.01515E+12,1.6
