product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,2.4,208.9999,2.3,0.8038,0.2739,0.5234,289,260,89.97,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,2,305.1002,1.9,1.1014,0.0775,0.2783,289,277,95.85,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,1.9,188.2,1.8,0.7975,0.1969,0.4437,289,236,81.66,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.7,1.9,415.5999,1.2,1.4531,0.0437,0.2092,289,286,98.96,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,2.2,323.7001,2.1,1.2645,0.1486,0.3855,289,256,88.58,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.1,2.3,303.1999,2.2,1.123,0.1791,0.4232,289,270,93.43,2.01515E+12,1
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.6,2.3,414.8996,1.7,1.4507,0.0637,0.2524,289,286,98.96,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002217,05/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,1.2,11.3,1.1,0.2055,0.0398,0.1995,289,55,19.03,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,0.4,6.5,0.3,0.2241,0.0046,0.0677,289,29,10.03,2.01515E+12,F
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,1.7,52.8,1.6,0.4328,0.1506,0.388,289,122,42.21,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.1,1.2,129.5999,1.1,0.5333,0.0895,0.2992,289,243,84.08,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.3,2.8,212.1999,2.5,0.742,0.0545,0.2334,289,286,98.96,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,1,193.6,0.7,0.6769,0.0139,0.1178,289,286,98.96,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1,169.5,0.9,0.5947,0.0463,0.2152,289,285,98.62,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,0.9,172.7,0.8,0.6038,0.0214,0.1464,289,286,98.96,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.1,1,75.2999,0.9,0.2709,0.0301,0.1734,289,278,96.19,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,0.6,10.9,0.5,0.3303,0.047,0.2167,289,33,11.42,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,1.9,127.7,1.8,0.4837,0.0793,0.2816,289,264,91.35,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002269,26/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002273,30/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002277,04/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002281,08/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002289,16/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002297,24/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002325,21/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002337,03/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002341,07/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003009,09/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003017,17/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003021,21/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003025,25/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003029,29/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003033,02/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003037,06/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003041,10/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003045,14/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003053,22/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003057,26/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003061,02/03/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003065,06/03/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003069,10/03/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003073,14/03/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003077,18/03/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003081,22/03/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003085,26/03/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003089,30/03/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003093,03/04/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003097,07/04/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003101,11/04/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003105,15/04/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003109,19/04/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003113,23/04/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003117,27/04/2003,0.1,0.1,0.7,0,0.1,0,0,289,7,2.42,2.01516E+12,F
MCD15A3H,Lai_500m,A2003121,01/05/2003,0.1,0.1,0.4,0,0.1,0,0,289,4,1.38,2.01516E+12,F
MCD15A3H,Lai_500m,A2003125,05/05/2003,0.1,0.1,0.6,0,0.1,0,0,289,6,2.08,2.01516E+12,F
MCD15A3H,Lai_500m,A2003129,09/05/2003,0.1,0.5,2.5,0.4,0.125,0.0079,0.0887,289,20,6.92,2.01516E+12,F
MCD15A3H,Lai_500m,A2003133,13/05/2003,0.1,0.5,5.8,0.4,0.1933,0.0193,0.1389,289,30,10.38,2.01516E+12,F
MCD15A3H,Lai_500m,A2003137,17/05/2003,0.1,0.5,4.3,0.4,0.1433,0.0105,0.1023,289,30,10.38,2.01516E+12,F
MCD15A3H,Lai_500m,A2003141,21/05/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003145,25/05/2003,0.1,0.1,0.1,0,0.1,0,0,289,1,0.35,2.01516E+12,F
MCD15A3H,Lai_500m,A2003149,29/05/2003,0.1,0.6,10.9,0.5,0.2137,0.0216,0.1469,289,51,17.65,2.01516E+12,F
MCD15A3H,Lai_500m,A2003153,02/06/2003,0.1,0.7,22.5,0.6,0.2744,0.0248,0.1576,289,82,28.37,2.01516E+12,F
MCD15A3H,Lai_500m,A2003157,06/06/2003,0.1,1.6,129.4999,1.5,0.4905,0.0888,0.298,289,264,91.35,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003161,10/06/2003,0.4,1,216.9998,0.6,0.7587,0.0202,0.1421,289,286,98.96,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003165,14/06/2003,0.1,1.6,220,1.5,0.8118,0.0507,0.2252,289,271,93.77,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003169,18/06/2003,0.2,2.1,258.0998,1.9,0.9024,0.0322,0.1794,289,286,98.96,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003173,22/06/2003,0.3,2.4,280.5999,2.1,0.9811,0.0389,0.1972,289,286,98.96,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003177,26/06/2003,0.1,2,336.6002,1.9,1.1811,0.101,0.3178,289,285,98.62,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003181,30/06/2003,0.1,1.9,36.9,1.8,0.7235,0.2489,0.4989,289,51,17.65,2.01516E+12,F
MCD15A3H,Lai_500m,A2003185,04/07/2003,0.1,2,123.6,1.9,0.6983,0.151,0.3886,289,177,61.25,2.01516E+12,F
MCD15A3H,Lai_500m,A2003189,08/07/2003,0.3,1.7,334.6,1.4,1.3019,0.0468,0.2163,289,257,88.93,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003193,12/07/2003,0.1,2.6,94.6,2.5,1.2286,0.1932,0.4396,289,77,26.64,2.01508E+12,F
MCD15A3H,Lai_500m,A2003197,16/07/2003,1,2.2,460.0001,1.2,1.6084,0.0515,0.2269,289,286,98.96,2.01508E+12,1.6
MCD15A3H,Lai_500m,A2003201,20/07/2003,0.9,2.4,468.3,1.5,1.6374,0.0663,0.2575,289,286,98.96,2.01508E+12,1.7
MCD15A3H,Lai_500m,A2003205,24/07/2003,0.1,4,72.5,3.9,0.684,0.28,0.5292,289,106,36.68,2.01508E+12,0.2
MCD15A3H,Lai_500m,A2003209,28/07/2003,0.1,1.9,31.2,1.8,0.8667,0.5233,0.7234,289,36,12.46,2.01508E+12,F
MCD15A3H,Lai_500m,A2003213,01/08/2003,0.8,2,422.4999,1.2,1.4773,0.0587,0.2422,289,286,98.96,2.01508E+12,1.5
MCD15A3H,Lai_500m,A2003217,05/08/2003,0.1,3.1,320.1,3,1.1192,0.1037,0.3221,289,286,98.96,2.01508E+12,1.2
MCD15A3H,Lai_500m,A2003221,09/08/2003,0.1,1.3,85,1.2,0.4971,0.0922,0.3037,289,171,59.17,2.01508E+12,F
MCD15A3H,Lai_500m,A2003225,13/08/2003,0.1,0.3,22.3,0.2,0.1652,0.0026,0.0507,289,135,46.71,2.01508E+12,F
MCD15A3H,Lai_500m,A2003229,17/08/2003,0.1,1.4,204,1.3,0.7133,0.0412,0.203,289,286,98.96,2.01508E+12,0.7
MCD15A3H,Lai_500m,A2003233,21/08/2003,0.2,1.1,249.0002,0.9,0.8706,0.0354,0.188,289,286,98.96,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2003237,25/08/2003,0.2,1.2,188.7999,1,0.6601,0.0318,0.1784,289,286,98.96,2.01508E+12,0.8
MCD15A3H,Lai_500m,A2003241,29/08/2003,0.3,1.5,209,1.2,0.7308,0.0241,0.1552,289,286,98.96,2.01508E+12,0.8
MCD15A3H,Lai_500m,A2003245,02/09/2003,0.1,1.1,200.1,1,0.6997,0.0309,0.1757,289,286,98.96,2.01508E+12,0.7
MCD15A3H,Lai_500m,A2003249,06/09/2003,0.3,1,190.6001,0.7,0.6664,0.0196,0.1399,289,286,98.96,2.01508E+12,0.7
MCD15A3H,Lai_500m,A2003253,10/09/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003257,14/09/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003261,18/09/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003265,22/09/2003,0.1,0.1,0.3,0,0.1,0,0,289,3,1.04,2.01508E+12,F
MCD15A3H,Lai_500m,A2003269,26/09/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003273,30/09/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003277,04/10/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003281,08/10/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003285,12/10/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003289,16/10/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003293,20/10/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003297,24/10/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003301,28/10/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003305,01/11/2003,0,0,0,0,0,0,0,289,0,0,2.0151E+12,F
MCD15A3H,Lai_500m,A2003309,05/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003313,09/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003317,13/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003321,17/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003325,21/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003329,25/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003333,29/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003337,03/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003341,07/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003345,11/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003349,15/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003357,23/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003361,27/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003365,31/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2004001,01/01/2004,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2004005,05/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004009,09/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004013,13/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004017,17/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004021,21/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004025,25/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004029,29/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004033,02/02/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004037,06/02/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004041,10/02/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004045,14/02/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004049,18/02/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004053,22/02/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004057,26/02/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004061,01/03/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004065,05/03/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004069,09/03/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004073,13/03/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004077,17/03/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004081,21/03/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004085,25/03/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004089,29/03/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004093,02/04/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004097,06/04/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004101,10/04/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004105,14/04/2004,0.1,0.1,0.2,0,0.1,0,0,289,2,0.69,2.01509E+12,F
MCD15A3H,Lai_500m,A2004109,18/04/2004,0.1,0.1,0.3,0,0.1,0,0,289,3,1.04,2.01509E+12,F
MCD15A3H,Lai_500m,A2004113,22/04/2004,0.1,0.1,0.3,0,0.1,0,0,289,3,1.04,2.01509E+12,F
MCD15A3H,Lai_500m,A2004117,26/04/2004,0.1,0.1,1.7,0,0.1,0,0,289,17,5.88,2.01509E+12,F
MCD15A3H,Lai_500m,A2004121,30/04/2004,0.1,1.3,8.4,1.2,0.271,0.075,0.2738,289,31,10.73,2.01509E+12,F
MCD15A3H,Lai_500m,A2004125,04/05/2004,0.1,1.7,14.3,1.6,0.3865,0.1671,0.4088,289,37,12.8,2.01509E+12,F
MCD15A3H,Lai_500m,A2004129,08/05/2004,0.1,0.1,0.3,0,0.1,0,0,289,3,1.04,2.01509E+12,F
MCD15A3H,Lai_500m,A2004133,12/05/2004,0.1,1,17.2,0.9,0.3373,0.0698,0.2642,289,51,17.65,2.01509E+12,F
MCD15A3H,Lai_500m,A2004137,16/05/2004,0.1,0.9,32.6,0.8,0.2885,0.0382,0.1954,289,113,39.1,2.01509E+12,F
MCD15A3H,Lai_500m,A2004141,20/05/2004,0.1,1.2,113.2,1.1,0.4602,0.0587,0.2422,289,246,85.12,2.01509E+12,F
MCD15A3H,Lai_500m,A2004145,24/05/2004,0.1,1.1,180,1,0.636,0.0464,0.2154,289,283,97.92,2.01509E+12,0.7
MCD15A3H,Lai_500m,A2004149,28/05/2004,0.1,1.1,135.8999,1,0.4802,0.0651,0.255,289,283,97.92,2.01509E+12,0.2
MCD15A3H,Lai_500m,A2004153,01/06/2004,0.1,1.3,220.3999,1.2,0.7788,0.0955,0.309,289,283,97.92,2.01509E+12,1
MCD15A3H,Lai_500m,A2004157,05/06/2004,0.4,1.3,281.8999,0.9,0.9857,0.0295,0.1717,289,286,98.96,2.01509E+12,1
MCD15A3H,Lai_500m,A2004161,09/06/2004,0.3,1.6,318.9004,1.3,1.115,0.0364,0.1907,289,286,98.96,2.01509E+12,1.1
MCD15A3H,Lai_500m,A2004165,13/06/2004,0.3,1.9,306.6001,1.6,1.072,0.0793,0.2816,289,286,98.96,2.01509E+12,1.1
MCD15A3H,Lai_500m,A2004169,17/06/2004,0.7,1.9,376.4,1.2,1.3161,0.0528,0.2298,289,286,98.96,2.01509E+12,1.4
MCD15A3H,Lai_500m,A2004173,21/06/2004,0.1,2.1,91.6,2,0.6189,0.2003,0.4476,289,148,51.21,2.01509E+12,F
MCD15A3H,Lai_500m,A2004177,25/06/2004,0.9,2.2,434.1999,1.3,1.5235,0.0506,0.225,289,285,98.62,2.01509E+12,1.5
MCD15A3H,Lai_500m,A2004181,29/06/2004,1,2.4,462.1,1.4,1.6157,0.0415,0.2038,289,286,98.96,2.01509E+12,1.6
MCD15A3H,Lai_500m,A2004185,03/07/2004,0.1,5,663.2997,4.9,2.3689,0.5651,0.7518,289,280,96.89,2.01509E+12,3
MCD15A3H,Lai_500m,A2004189,07/07/2004,0.1,2.3,254.8,2.2,1.1851,0.28,0.5291,289,215,74.39,2.01509E+12,F
MCD15A3H,Lai_500m,A2004193,11/07/2004,0.2,2.1,351.3002,1.9,1.3408,0.1552,0.3939,289,262,90.66,2.01509E+12,0.8
MCD15A3H,Lai_500m,A2004197,15/07/2004,0.1,3.5,366.0999,3.4,1.3815,0.7751,0.8804,289,265,91.7,2.01509E+12,0.3
MCD15A3H,Lai_500m,A2004201,19/07/2004,0.1,1.1,14.1,1,0.3917,0.0902,0.3003,289,36,12.46,2.01509E+12,F
MCD15A3H,Lai_500m,A2004205,23/07/2004,1.1,2.6,491.3999,1.5,1.7182,0.0587,0.2423,289,286,98.96,2.01509E+12,2.5
MCD15A3H,Lai_500m,A2004209,27/07/2004,0.1,2.4,88.9,2.3,0.6585,0.1886,0.4343,289,135,46.71,2.01509E+12,0.5
