product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,1.6,311.0001,1.4,1.1519,0.0708,0.2661,289,270,93.43,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,1.6,166.2,1.5,0.6868,0.1082,0.3289,289,242,83.74,2.01515E+12,1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,1.9,245.3,1.7,1.1516,0.1779,0.4218,289,213,73.7,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.5,2.6,415.3,2.1,1.447,0.0924,0.304,289,287,99.31,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,2.1,357.6003,2,1.2957,0.2048,0.4525,289,276,95.5,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.7,2.3,477.6003,1.6,1.6526,0.0746,0.2731,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.3,2.1,464.2001,1.8,1.6062,0.069,0.2627,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,2.1,70.9,2,0.5908,0.1995,0.4467,289,120,41.52,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.1,1.3,30,1.2,0.3191,0.0573,0.2394,289,94,32.53,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,1.9,304,1.8,1.1095,0.1985,0.4456,289,274,94.81,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002229,17/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,1.8,309.8002,1.6,1.072,0.0519,0.2278,289,289,100,2.01515E+12,1.2
