product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.6,6.3,637.5001,5.7,2.2768,1.0902,1.0441,289,280,96.89,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.9,6.4,675.7001,5.5,2.3381,1.2118,1.1008,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,6.9,625.8002,5.9,2.1654,1.1037,1.0506,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.8,6.1,578.0002,5.3,2,0.8165,0.9036,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.8,5.8,521.0999,5,1.8031,0.8703,0.9329,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.7,6.8,537.2,6.1,1.8588,1.1615,1.0777,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.7,5.3,436.2,4.6,1.5093,0.4444,0.6667,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.5,4.7,323.5,4.2,1.1893,0.2067,0.4546,289,272,94.12,2.01515E+12,1
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.3,2.6,296.8001,2.3,1.0872,0.1496,0.3868,289,273,94.46,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,5.2,414.1001,4.7,1.4329,0.7638,0.874,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,4.1,394.6001,4,1.4615,0.1747,0.4179,289,270,93.43,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,4.9,449.2,4.4,1.5986,0.6209,0.788,289,281,97.23,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002237,25/08/2002,1,6.3,602.4,5.3,2.0844,0.9931,0.9965,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.8,5,493.4003,4.2,1.7073,0.5795,0.7612,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.9,6.5,484.7003,5.6,1.6772,0.6187,0.7866,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.7,4.3,380.0001,3.6,1.3149,0.317,0.5631,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.6,4.9,379.9999,4.3,1.3149,0.4071,0.6381,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.7,3.3,336.7,2.6,1.1651,0.1239,0.352,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.6,4.7,386.9,4.1,1.3388,0.5038,0.7098,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.6,4.6,340.7001,4,1.1789,0.2132,0.4617,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.5,3.2,335.3999,2.7,1.1606,0.2119,0.4604,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.5,1.7,244.9999,1.2,0.8478,0.061,0.2469,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.4,3.1,308.6001,2.7,1.0678,0.1621,0.4026,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,1.6,221.2001,1.3,0.7654,0.037,0.1924,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.5,2.3,304.0999,1.8,1.0522,0.0931,0.3051,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,1.9,238.0001,1.6,0.8235,0.0652,0.2553,289,289,100,2.01515E+12,0.9
