product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,6.6,725.5999,6.5,3.1686,3.6809,1.9186,289,229,79.24,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,6.7,543.6998,6.6,2.5526,3.7184,1.9283,289,213,73.7,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,5.8,493.9001,5.7,2.1474,2.3063,1.5187,289,230,79.58,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.4,6.6,888.2999,6.2,3.7012,2.9768,1.7253,289,240,83.04,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,6.6,455.7,6.5,2.1909,3.6176,1.902,289,208,71.97,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.8,6.6,873.0999,5.8,3.6379,3.4259,1.8509,289,240,83.04,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,6.6,562.5,6.4,2.4671,3.6675,1.9151,289,228,78.89,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.4,6.6,860.7997,6.2,3.5867,3.0697,1.752,289,240,83.04,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.1,6.6,518.3,6.5,2.4799,2.5245,1.5889,289,209,72.32,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,6.6,328.4,6.5,1.3974,2.9556,1.7192,289,235,81.31,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,6.6,815.9002,6.5,3.4282,3.6619,1.9136,289,238,82.35,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,6.6,740.8002,6.3,3.1931,3.6268,1.9044,289,232,80.28,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.7,6.6,871.6003,5.9,3.6932,2.9085,1.7054,289,236,81.66,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,6.6,535.8002,6.4,2.2325,3.6894,1.9208,289,240,83.04,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,6.6,737.8,6.4,3.087,3.7433,1.9348,289,239,82.7,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.5,6.6,698.9003,6.1,2.9868,3.28,1.8111,289,234,80.97,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.6,6.6,759.2006,6,3.3742,4.038,2.0095,289,225,77.85,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.5,6.6,689.3002,6.1,2.9711,4.1849,2.0457,289,232,80.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.6,6.6,817.0002,6,3.4042,3.2672,1.8075,289,240,83.04,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,6.6,429.7002,6.5,2.2036,3.3232,1.823,289,195,67.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.7,6.2,783.4001,5.5,3.2642,2.7639,1.6625,289,240,83.04,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.5,6.2,684.7,5.7,2.889,3.1641,1.7788,289,237,82.01,2.01515E+12,3.9
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.6,5.8,719.7,5.2,3.0239,2.6668,1.633,289,238,82.35,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.2,5.9,513.4001,5.7,2.2419,1.8321,1.3536,289,229,79.24,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,6.6,619.2998,6.5,2.5804,2.5266,1.5895,289,240,83.04,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.6,6.2,719.8998,5.6,2.9996,2.9147,1.7073,289,240,83.04,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,6,646.9005,5.7,2.7181,2.378,1.5421,289,238,82.35,2.01515E+12,6
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.3,6,509.1,5.7,2.1481,1.6469,1.2833,289,237,82.01,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.2,5.9,663.1002,5.7,2.7979,2.4955,1.5797,289,237,82.01,2.01515E+12,3.8
