product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.1,3.9,36,2.8,2.25,0.6063,0.7786,289,16,5.54,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002189,08/07/2002,1,2.1,25.1,1.1,1.5688,0.1109,0.333,289,16,5.54,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,3.4,34.4,2.4,2.15,0.4825,0.6946,289,16,5.54,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.1,2.8,30.5,1.7,1.9063,0.2006,0.4479,289,16,5.54,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.1,3.3,28.6,2.2,1.7875,0.2986,0.5464,289,16,5.54,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,1,2.2,26.1,1.2,1.6313,0.1146,0.3386,289,16,5.54,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.5,3.4,34.8,1.9,2.175,0.3256,0.5706,289,16,5.54,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.3,3.2,30.1,1.9,1.8812,0.2378,0.4876,289,16,5.54,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.2,4.3,35.9,3.1,2.2437,0.64,0.8,289,16,5.54,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.8,2.7,28.5,1.9,1.7812,0.3678,0.6064,289,16,5.54,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.4,2.6,32.2,1.2,2.0125,0.1248,0.3533,289,16,5.54,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,0.9,4.2,0.6,0.6,0.0543,0.233,289,7,2.42,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.4,4.5,36.5,3.1,2.2812,1.0115,1.0057,289,16,5.54,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.2,3.2,31.9,2,1.9938,0.2968,0.5448,289,16,5.54,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.1,2.7,30.6,1.6,1.9125,0.1923,0.4386,289,16,5.54,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.2,3.5,35,2.3,2.1875,0.5586,0.7474,289,16,5.54,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002253,10/09/2002,1,4.3,31.9,3.3,1.9937,0.5981,0.7734,289,16,5.54,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002257,14/09/2002,1,4.6,34.2,3.6,2.1375,0.8973,0.9473,289,16,5.54,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,0.9,7.5,0.7,0.4688,0.0346,0.1861,289,16,5.54,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.8,2.9,25.1,2.1,1.5688,0.3809,0.6172,289,16,5.54,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.8,2,20.7,1.2,1.2938,0.1431,0.3783,289,16,5.54,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.8,3.6,26.9,2.8,1.6812,0.5565,0.746,289,16,5.54,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.5,2.6,23.4,2.1,1.4625,0.2611,0.511,289,16,5.54,2.01515E+12,2
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.7,2.2,21.1,1.5,1.3188,0.2753,0.5247,289,16,5.54,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.6,2,17.3,1.4,1.0813,0.1603,0.4003,289,16,5.54,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002289,16/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.1,1.2,0,0.1,0,0,289,12,4.15,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.1,0.4,0,0.1,0,0,289,4,1.38,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.5,1.2,13.6,0.7,0.85,0.0538,0.2318,289,16,5.54,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.4,1.2,13.7,0.8,0.8563,0.0537,0.2318,289,16,5.54,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.4,1.5,13.2,1.1,0.825,0.1156,0.34,289,16,5.54,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.3,1.4,10.4,1.1,0.65,0.1487,0.3857,289,16,5.54,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.6,5.3,0.5,0.3313,0.0121,0.1102,289,16,5.54,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.3,1.2,10.4,0.9,0.65,0.0713,0.2669,289,16,5.54,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.7,6.2,0.6,0.3875,0.0323,0.1798,289,16,5.54,2.01515E+12,0.4
