product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.5,6.5,571.2001,6,1.9765,0.3709,0.609,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.7,5.8,469.1,5.1,1.6232,0.129,0.3591,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.7,3.7,427.0999,3,1.4779,0.0983,0.3136,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.7,2.2,408.0002,1.5,1.4118,0.0551,0.2347,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.5,2.3,385.5999,1.8,1.3343,0.0694,0.2634,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.8,1.7,338.9001,0.9,1.1727,0.0346,0.186,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.7,3.5,388.5001,2.8,1.3443,0.0839,0.2897,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,4.2,410.9999,3.5,1.4221,0.0805,0.2838,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.9,2,425.0999,1.1,1.4709,0.0529,0.2301,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.9,4,440.7998,3.1,1.5253,0.0979,0.3128,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002229,17/08/2002,1,2.8,499.4998,1.8,1.7284,0.098,0.3131,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.7,4.4,530.2001,3.7,1.8346,0.1659,0.4073,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.1,3.1,577.1003,2,1.9969,0.1076,0.328,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.2,4,541.7001,2.8,1.8744,0.1315,0.3627,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002245,02/09/2002,1,3.7,521.9,2.7,1.8059,0.0911,0.3019,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.9,2.3,416.9005,1.4,1.4426,0.0788,0.2807,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.6,2,347.9999,1.4,1.2042,0.0515,0.2269,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.8,1.9,381.1,1.1,1.3187,0.0398,0.1995,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.7,2,378.7999,1.3,1.3107,0.0356,0.1888,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.7,2.5,397.5999,1.8,1.3758,0.0334,0.1827,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.7,2.8,384.9001,2.1,1.3318,0.0436,0.2087,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.7,1.9,350.0003,1.2,1.2111,0.0318,0.1783,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.6,4,367.3004,3.4,1.2709,0.1821,0.4268,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.7,1.7,325.1004,1,1.1249,0.0173,0.1315,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.6,1.7,299.5001,1.1,1.0363,0.0243,0.1557,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.5,1.6,255.8999,1.1,0.8855,0.0197,0.1404,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.5,1.7,211.4996,1.2,0.7318,0.0126,0.1123,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.7,66.6999,0.6,0.2657,0.0226,0.1502,289,251,86.85,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002301,28/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.2,1.4,113.6002,1.2,0.3931,0.0103,0.1017,289,289,100,2.01515E+12,0.3
