product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1,6.8,1183.2997,5.8,5.0353,1.8882,1.3741,289,235,81.31,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.9,6.8,1126.3003,5.9,4.7324,1.8054,1.3436,289,238,82.35,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.6,6.8,1283.6003,5.2,5.439,0.9723,0.986,289,236,81.66,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.6,6.7,659.0999,6.1,2.9959,4.2205,2.0544,289,220,76.12,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.4,6.9,1440.5007,5.5,5.3155,0.7922,0.8901,289,271,93.77,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.7,6.6,477.3997,5.9,3.2699,2.9369,1.7137,289,146,50.52,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.2,6.8,1406.4,5.6,5.2674,1.1009,1.0492,289,267,92.39,2.01515E+12,6.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,6.8,798.2,6.5,4.0933,2.8242,1.6805,289,195,67.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.1,6.8,1448.2996,5.7,5.3641,1.4382,1.1993,289,270,93.43,2.01515E+12,6.8
MCD15A3H,Lai_500m,A2002225,13/08/2002,2.2,6.8,1367.6996,4.6,5.3012,0.3768,0.6138,289,258,89.27,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.2,6.8,1628.6013,5.6,5.7144,0.7285,0.8535,289,285,98.62,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.8,5.6,1248.0991,3.8,4.3488,0.5025,0.7089,289,287,99.31,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.8,6.8,1114.4998,6,4.7225,1.6319,1.2775,289,236,81.66,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.6,6.8,1032.8998,6.2,4.6527,1.7811,1.3346,289,222,76.82,2.01515E+12,F
