product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.6,3.7,554.8005,3.1,1.9197,0.2496,0.4996,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.7,5.7,550.8002,5,1.9059,0.2561,0.506,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,4.7,460.7003,4.5,1.6222,0.376,0.6131,289,284,98.27,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.5,4.7,416.2001,4.2,1.4502,0.1923,0.4385,289,287,99.31,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,2.9,401.3001,2.3,1.3886,0.1086,0.3296,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.6,2.9,357.6002,2.3,1.2374,0.0922,0.3036,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.5,2.3,345.3002,1.8,1.1948,0.077,0.2775,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,4.3,392.3998,3.6,1.3578,0.2224,0.4716,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.6,2.1,352.4001,1.5,1.2194,0.0656,0.2561,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,2,335.6001,1.5,1.1612,0.0511,0.226,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,1.7,325.0002,1.2,1.1246,0.043,0.2074,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,1.6,283.1003,1.1,0.9796,0.0292,0.1708,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.5,1.6,287.0001,1.1,0.9931,0.0335,0.1831,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.6,1.8,324.4001,1.2,1.1225,0.0366,0.1912,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.5,2.3,319.1002,1.8,1.1042,0.0419,0.2047,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.6,2.3,283.7001,1.7,0.9817,0.0544,0.2332,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.5,1.9,341.2002,1.4,1.1806,0.0446,0.2112,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.6,3,337.4,2.4,1.1675,0.0639,0.2528,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.6,2.1,334.2,1.5,1.1564,0.0522,0.2285,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.6,6.5,359.5,5.9,1.2439,0.1697,0.4119,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.6,2.3,347.9999,1.7,1.2042,0.0605,0.2459,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.5,2.7,335.8002,2.2,1.1619,0.077,0.2775,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.6,2.5,331.3002,1.9,1.1464,0.0633,0.2516,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.2,2.5,260.8,2.3,0.9992,0.1436,0.3789,289,261,90.31,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.5,2,271.9001,1.5,0.9408,0.054,0.2325,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,2.1,249.3,1.8,0.8626,0.0587,0.2424,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,3,281.4,2.7,0.9737,0.1242,0.3524,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,1.3,49.6,1.2,0.4429,0.0689,0.2624,289,112,38.75,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002301,28/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,1.5,14.8,1.4,0.2846,0.0717,0.2677,289,52,17.99,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.3,2.8,213.8001,2.5,0.7398,0.1147,0.3387,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.3,1.9,198.9999,1.6,0.6886,0.0717,0.2677,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.3,5.2,172.5,4.9,0.5969,0.1319,0.3632,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.3,2.1,178.3,1.8,0.617,0.0638,0.2525,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.3,1.7,174.7999,1.4,0.6048,0.0584,0.2416,289,289,100,2.01515E+12,0.3
