product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,2002-07-04,1.0,6.8,1096.1002,5.8,3.8731,2.8972,1.7021,289,283,97.92,2015149105824,5.7
MCD15A3H,Lai_500m,A2002189,2002-07-08,0.8,6.8,1106.6998,6.0,3.9106,3.5517,1.8846,289,283,97.92,2015149102810,5.6
MCD15A3H,Lai_500m,A2002193,2002-07-12,0.9,6.6,1133.3007,5.7,4.0046,3.2215,1.7949,289,283,97.92,2015149100830,6.1
MCD15A3H,Lai_500m,A2002197,2002-07-16,0.7,6.7,1036.1995,6.0,3.6615,3.0454,1.7451,289,283,97.92,2015149104053,5.1
MCD15A3H,Lai_500m,A2002201,2002-07-20,0.8,6.8,950.4004,6.0,3.3702,2.5688,1.6027,289,282,97.58,2015149084303,4.6
MCD15A3H,Lai_500m,A2002205,2002-07-24,0.7,6.8,1040.6001,6.1,3.677,3.3461,1.8292,289,283,97.92,2015149104741,5.8
MCD15A3H,Lai_500m,A2002209,2002-07-28,0.8,6.8,774.2004,6.0,2.7949,1.8588,1.3634,289,277,95.85,2015149081614,3.3
MCD15A3H,Lai_500m,A2002217,2002-08-05,0.7,6.7,808.6005,6.0,2.8879,3.1294,1.769,289,280,96.89,2015149081753,5.6
MCD15A3H,Lai_500m,A2002221,2002-08-09,0.7,6.1,881.8999,5.4,3.1163,2.9921,1.7298,289,283,97.92,2015149203558,5.9
MCD15A3H,Lai_500m,A2002225,2002-08-13,0.7,6.6,850.0,5.9,3.0466,2.8869,1.6991,289,279,96.54,2015150074830,4.6
MCD15A3H,Lai_500m,A2002229,2002-08-17,0.4,4.4,427.7999,4.0,2.0275,1.3033,1.1416,289,211,73.01,2015150110554,F
MCD15A3H,Lai_500m,A2002233,2002-08-21,0.6,6.8,745.9,6.2,3.3599,4.4165,2.1016,289,222,76.82,2015150100833,4.8
MCD15A3H,Lai_500m,A2002237,2002-08-25,0.5,6.8,1012.9998,6.3,3.657,3.7215,1.9291,289,277,95.85,2015150122125,5.2
MCD15A3H,Lai_500m,A2002241,2002-08-29,1.2,6.6,1109.2999,5.4,3.9198,2.2959,1.5152,289,283,97.92,2015150104455,4.9
MCD15A3H,Lai_500m,A2002245,2002-09-02,1.1,6.8,1025.3997,5.7,3.6233,2.4169,1.5546,289,283,97.92,2015150120656,4.8
MCD15A3H,Lai_500m,A2002249,2002-09-06,1.1,6.4,1013.5001,5.3,3.5813,2.571,1.6034,289,283,97.92,2015150102136,4.8
MCD15A3H,Lai_500m,A2002253,2002-09-10,0.8,6.1,666.3,5.3,2.3712,1.029,1.0144,289,281,97.23,2015150235054,2
MCD15A3H,Lai_500m,A2002257,2002-09-14,0.2,4.3,158.4,4.1,1.3091,0.7711,0.8781,289,121,41.87,2015151041128,F
MCD15A3H,Lai_500m,A2002261,2002-09-18,0.9,6.4,891.3002,5.5,3.1495,2.1244,1.4575,289,283,97.92,2015151113112,4.6
MCD15A3H,Lai_500m,A2002265,2002-09-22,1.1,5.3,901.1,4.2,3.1841,2.0259,1.4233,289,283,97.92,2015151071512,4.5
MCD15A3H,Lai_500m,A2002269,2002-09-26,0.8,5.1,714.3002,4.3,2.524,1.2945,1.1378,289,283,97.92,2015151133529,4.1
MCD15A3H,Lai_500m,A2002273,2002-09-30,0.9,4.5,601.7004,3.6,2.1261,0.7987,0.8937,289,283,97.92,2015151081852,2.8
MCD15A3H,Lai_500m,A2002277,2002-10-04,0.7,5.8,614.7001,5.1,2.1721,1.0517,1.0255,289,283,97.92,2015151145559,2.7
MCD15A3H,Lai_500m,A2002281,2002-10-08,0.6,2.6,397.8001,2.0,1.4057,0.1073,0.3276,289,283,97.92,2015151095939,1.4
MCD15A3H,Lai_500m,A2002285,2002-10-12,0.7,4.6,491.8001,3.9,1.7378,0.3028,0.5503,289,283,97.92,2015151145757,2.1
MCD15A3H,Lai_500m,A2002289,2002-10-16,0.4,1.4,243.3999,1.0,0.8601,0.0343,0.1851,289,283,97.92,2015151104653,0.9
MCD15A3H,Lai_500m,A2002293,2002-10-20,0.6,1.6,308.2997,1.0,1.0894,0.0447,0.2114,289,283,97.92,2015151201908,1.2
MCD15A3H,Lai_500m,A2002297,2002-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2015152014313,F
MCD15A3H,Lai_500m,A2002301,2002-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2015152055353,F
MCD15A3H,Lai_500m,A2002305,2002-11-01,0.3,1.3,220.0,1.0,0.7774,0.0232,0.1524,289,283,97.92,2015152040436,0.8
MCD15A3H,Lai_500m,A2002309,2002-11-05,0.5,1.2,214.9998,0.7,0.7597,0.0199,0.1409,289,283,97.92,2015152074154,0.7
MCD15A3H,Lai_500m,A2002313,2002-11-09,0.5,1.2,201.0001,0.7,0.7102,0.0112,0.106,289,283,97.92,2015152050546,0.7
MCD15A3H,Lai_500m,A2002317,2002-11-13,0.3,1.4,179.8,1.1,0.6353,0.0322,0.1796,289,283,97.92,2015152082041,0.7
MCD15A3H,Lai_500m,A2002321,2002-11-17,0.3,1.2,199.4999,0.9,0.7049,0.014,0.1185,289,283,97.92,2015152060205,0.7
MCD15A3H,Lai_500m,A2002325,2002-11-21,0.3,1.0,186.0,0.7,0.6572,0.0146,0.1208,289,283,97.92,2015152084148,0.7
MCD15A3H,Lai_500m,A2002329,2002-11-25,0.3,1.1,193.2,0.8,0.6827,0.0129,0.1135,289,283,97.92,2015152061130,0.7
MCD15A3H,Lai_500m,A2002333,2002-11-29,0.3,0.9,174.5,0.6,0.6166,0.0138,0.1176,289,283,97.92,2015152213828,0.7
MCD15A3H,Lai_500m,A2002337,2002-12-03,0.1,0.9,126.0001,0.8,0.4452,0.013,0.114,289,283,97.92,2015153113342,0.5
MCD15A3H,Lai_500m,A2002341,2002-12-07,0.3,0.9,160.0999,0.6,0.5657,0.0157,0.1252,289,283,97.92,2015153125957,0.5
MCD15A3H,Lai_500m,A2002345,2002-12-11,0.3,0.7,159.6999,0.4,0.5663,0.0159,0.1259,289,282,97.58,2015153105446,0.6
MCD15A3H,Lai_500m,A2002349,2002-12-15,0.3,4.3,142.6001,4.0,0.5039,0.1267,0.3559,289,283,97.92,2015153130541,0.5
MCD15A3H,Lai_500m,A2002353,2002-12-19,0.3,0.8,146.0,0.5,0.5159,0.012,0.1096,289,283,97.92,2015153094946,0.6
MCD15A3H,Lai_500m,A2002357,2002-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2015153131901,F
