product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,2.1,125.1001,1.9,0.4329,0.0509,0.2257,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,1.7,132.7,1.5,0.4592,0.0375,0.1937,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,1.1,126.3001,0.9,0.437,0.0283,0.1682,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,2.2,135.7,2.1,0.4696,0.069,0.2626,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,1.2,110.7,1,0.383,0.0296,0.172,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,1.2,139.6,1,0.483,0.0385,0.1962,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,1.3,127.3002,1.1,0.4405,0.0257,0.1604,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,2,160.5998,1.7,0.5557,0.0355,0.1884,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.4,1.7,190.6,1.3,0.6595,0.0262,0.1619,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,1.1,177.2999,0.8,0.6135,0.0167,0.1291,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.3,1.4,167.0999,1.1,0.5782,0.0222,0.149,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,1.1,172.1998,0.8,0.5958,0.021,0.1447,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,1.1,159.8997,0.9,0.5533,0.0255,0.1596,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.3,1.1,177.0999,0.8,0.6128,0.0228,0.1512,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,1.3,179.8,1,0.6221,0.023,0.1516,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.3,1.1,181.6,0.8,0.6284,0.0308,0.1754,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.2,1.1,175.5,0.9,0.6094,0.0286,0.169,289,288,99.65,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,1.6,181.9999,1.3,0.6298,0.03,0.1731,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.4,1.1,186.1999,0.7,0.6443,0.0137,0.117,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.4,1,178.2998,0.6,0.617,0.0113,0.1063,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,1,186.0999,0.7,0.6439,0.0108,0.1038,289,289,100,2.01515E+12,0.7
