product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.2,3.6,536.7997,2.4,1.8574,0.1588,0.3986,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.1,3.2,541.3,2.1,1.873,0.1621,0.4026,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.3,3.9,609.4003,2.6,2.1087,0.2289,0.4784,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.1,4.6,520.5003,3.5,1.801,0.1339,0.3659,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.2,4.5,600.4996,3.3,2.0779,0.2852,0.534,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.1,5.3,710.0991,4.2,2.4571,0.7744,0.88,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.1,4,570.2996,2.9,1.9734,0.2415,0.4915,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,3.1,388.7002,2.4,1.345,0.1295,0.3598,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.2,3.2,569.8,2,1.9716,0.1782,0.4222,289,289,100,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002225,13/08/2002,1.1,3.8,547.9999,2.7,1.8962,0.1712,0.4137,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.1,5.3,534.0001,4.2,1.8478,0.3945,0.6281,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.1,3.8,568.3996,2.7,1.9668,0.3811,0.6173,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.1,6.7,587.1002,5.6,2.0315,0.4035,0.6352,289,289,100,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.1,3.6,555.1001,2.5,1.9208,0.3356,0.5793,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.1,3.1,526.3002,2,1.8211,0.1591,0.3989,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.6,4,447.8003,3.4,1.5495,0.337,0.5805,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.1,3.1,536.7999,2,1.8574,0.235,0.4848,289,289,100,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,0.9,29.3,0.6,0.598,0.0202,0.1421,289,49,16.96,2.01515E+12,F
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.2,3.5,600.0001,2.3,2.0761,0.2472,0.4972,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002265,22/09/2002,1.1,4,582.7001,2.9,2.0163,0.403,0.6348,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.8,5.8,488.9998,5,1.7038,0.3245,0.5696,289,287,99.31,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.9,3.2,469.8998,2.3,1.626,0.2081,0.4562,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002277,04/10/2002,1,4.5,555.0998,3.5,1.9208,0.1484,0.3853,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002281,08/10/2002,1,5,537.5999,4,1.8602,0.3679,0.6065,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002285,12/10/2002,1,3.3,507.8,2.3,1.7571,0.2105,0.4588,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.9,3.8,560.1998,2.9,1.9384,0.2254,0.4748,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002293,20/10/2002,1,5.9,529.8998,4.9,1.8336,0.3833,0.6191,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002297,24/10/2002,1,5.5,479.3001,4.5,1.6585,0.2491,0.4991,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.8,2.4,433.8,1.6,1.501,0.1324,0.3638,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002305,01/11/2002,1.1,4.2,630.7998,3.1,2.1827,0.3413,0.5842,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.3,4,188.1,3.7,1.1065,0.5565,0.746,289,170,58.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,2.7,106.4,2.6,0.865,0.3011,0.5488,289,123,42.56,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.9,2.6,437.5,1.7,1.5138,0.1068,0.3268,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.8,3,385.9001,2.2,1.3353,0.1232,0.351,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.9,3.3,493.3,2.4,1.7069,0.1947,0.4412,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002329,25/11/2002,1,4,586.0001,3,2.0277,0.1671,0.4088,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.9,3.3,516.9999,2.4,1.7889,0.1633,0.4041,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,1.3,37.1,1.2,0.4947,0.1469,0.3833,289,75,25.95,2.01515E+12,F
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.1,3.5,138.8999,3.4,0.6314,0.2098,0.458,289,220,76.12,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.1,1.3,22.9,1.2,0.229,0.0201,0.1416,289,100,34.6,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.2,1.2,117.9,1,0.6109,0.0364,0.1908,289,193,66.78,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.1,0.3,5.5,0.2,0.2037,0.0026,0.0508,289,27,9.34,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,2.6,2.6,5.2,0,2.6,0,0,289,2,0.69,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.1,0.9,21.3,0.8,0.3087,0.0367,0.1917,289,69,23.88,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.1,2.2,105.9,2.1,0.7107,0.2646,0.5144,289,149,51.56,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003001,01/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.6,4.3,484.3,3.7,1.7937,0.3596,0.5996,289,270,93.43,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2003009,09/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.3,0.3,0.6,0,0.3,0,0,289,2,0.69,2.01515E+12,F
MCD15A3H,Lai_500m,A2003017,17/01/2003,0.3,2.1,276.6,1.8,1.143,0.117,0.342,289,242,83.74,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.2,3.9,246.2001,3.7,1.1398,0.3169,0.563,289,216,74.74,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2003025,25/01/2003,0.3,3.2,278.6001,2.9,0.9707,0.2787,0.5279,289,287,99.31,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003029,29/01/2003,0.3,1,17.3,0.7,0.4806,0.031,0.1761,289,36,12.46,2.01515E+12,F
MCD15A3H,Lai_500m,A2003033,02/02/2003,1,3.8,583.0997,2.8,2.0176,0.2227,0.4719,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.9,3,463.2997,2.1,1.6031,0.1091,0.3303,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.9,2.6,491.5,1.7,1.7007,0.1268,0.3561,289,289,100,2.01516E+12,1.5
