product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,1,93.8,0.9,0.469,0.0297,0.1724,289,200,69.2,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,0.8,75.8,0.7,0.379,0.0294,0.1713,289,200,69.2,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,1,144.7,0.9,0.7271,0.0348,0.1867,289,199,68.86,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,1.6,180.2999,1.5,0.897,0.071,0.2665,289,201,69.55,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,1.3,162.9,1.2,0.8145,0.0427,0.2067,289,200,69.2,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.1,1,86.8,0.9,0.434,0.0271,0.1648,289,200,69.2,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,1.1,130.0999,1,0.6604,0.0333,0.1824,289,197,68.17,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,0.8,82.1,0.7,0.4321,0.0342,0.1849,289,190,65.74,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.1,1.1,136.0999,1,0.6805,0.0322,0.1794,289,200,69.2,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,0.9,49.1999,0.8,0.2911,0.0545,0.2335,289,169,58.48,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,0.4,19.5,0.3,0.1275,0.003,0.0551,289,153,52.94,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,0.8,88.4999,0.7,0.4403,0.0427,0.2067,289,201,69.55,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.1,0.6,51.2,0.5,0.2547,0.0121,0.1101,289,201,69.55,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,0.6,39.8,0.5,0.2084,0.0202,0.1423,289,191,66.09,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,0.4,30.6,0.3,0.153,0.0044,0.0663,289,200,69.2,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,0.6,71.5,0.5,0.3557,0.0128,0.1132,289,201,69.55,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,0.2,12.8,0.1,0.1032,0.0003,0.0177,289,124,42.91,2.01515E+12,F
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.1,0.1,20.1,0,0.1,0,0,289,201,69.55,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,0.1,5.3,0,0.1,0,0,289,53,18.34,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002273,30/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002277,04/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002281,08/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002289,16/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002297,24/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
