product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.2,6.7,964.5001,5.5,3.8891,1.9082,1.3814,289,248,85.81,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.4,6.8,1239.2001,5.4,4.6762,2.1969,1.4822,289,265,91.7,2.01515E+12,3.8
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.5,6.9,1161.1,5.4,4.7008,1.8064,1.344,289,247,85.47,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.3,6.8,1379.4999,5.5,5.1861,1.9121,1.3828,289,266,92.04,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,1,6.8,1101.5001,5.8,4.0055,1.9599,1.4,289,275,95.16,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.7,6.8,1090.1005,6.1,4.4134,2.9108,1.7061,289,247,85.47,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.6,6.8,1019.1001,6.2,4.3927,2.899,1.7026,289,232,80.28,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.4,6.8,1128.8002,5.4,4.1197,1.6209,1.2731,289,274,94.81,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.9,6.9,1296.5004,6,4.5975,1.7852,1.3361,289,282,97.58,2.01515E+12,3.3
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,6.8,925.5997,6.3,4.2852,3.9787,1.9947,289,216,74.74,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,6.8,1296.3,6.3,4.5806,1.7286,1.3147,289,283,97.92,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,6.7,241.3,6.5,2.0983,3.399,1.8436,289,115,39.79,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,1,6.6,1269.8,5.6,4.3938,1.5583,1.2483,289,289,100,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.1,6.8,1295.2994,5.7,4.482,2.2573,1.5024,289,289,100,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.1,6.5,1280.6992,5.4,4.4469,1.5066,1.2274,289,288,99.65,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002249,06/09/2002,1,6.8,1234.9001,5.8,4.273,1.7033,1.3051,289,289,100,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.1,6.8,1233.2,5.7,4.3119,1.6675,1.2913,289,286,98.96,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002257,14/09/2002,1,6.6,1181.3993,5.6,4.0879,1.5934,1.2623,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002261,18/09/2002,1,6.8,1095.2,5.8,3.8028,1.8753,1.3694,289,288,99.65,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,5.8,585.2002,5.5,2.7346,2.456,1.5672,289,214,74.05,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.9,5.5,1047.5997,4.6,3.6887,1.5875,1.26,289,284,98.27,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.6,6.2,466.0002,5.6,1.6125,0.4121,0.6419,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.2,4.7,336.9002,4.5,1.3058,0.401,0.6333,289,258,89.27,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.6,1.7,269.5999,1.1,0.9329,0.0371,0.1926,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.4,1.5,253.5999,1.1,0.8775,0.0309,0.1757,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,1.3,56.1,1.2,0.3643,0.039,0.1976,289,154,53.29,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.9,12.9,0.8,0.1633,0.0266,0.1632,289,79,27.34,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.7,31.8,0.6,0.3975,0.0245,0.1565,289,80,27.68,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,2.2,180.9998,2.1,0.7479,0.0609,0.2468,289,242,83.74,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,1.4,167.7001,1.3,0.6681,0.0715,0.2674,289,251,86.85,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,1,102.3,0.9,0.4527,0.0308,0.1755,289,226,78.2,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.3,2.8,176.5999,2.5,0.6111,0.0894,0.2989,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,1,24.3,0.9,0.2761,0.0232,0.1523,289,88,30.45,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,4.2,279.3001,4.1,1.0011,0.2273,0.4767,289,279,96.54,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.2,0.8,0.1,0.1143,0.0012,0.035,289,7,2.42,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,1.3,15.5,1.2,0.2627,0.0789,0.281,289,59,20.42,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,0.3,2.8,0.2,0.1647,0.0082,0.0904,289,17,5.88,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,0.3,0.5,0.2,0.1667,0.0089,0.0943,289,3,1.04,2.01515E+12,F
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.1,0.5,5.2,0.4,0.1926,0.0088,0.094,289,27,9.34,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.3,0.4,1.3,0.1,0.325,0.0019,0.0433,289,4,1.38,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.1,0.8,75.9001,0.7,0.4103,0.0118,0.1088,289,185,64.01,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.1,0.8,75.9001,0.7,0.4103,0.0118,0.1088,289,185,64.01,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.1,0.9,56.4,0.8,0.47,0.0291,0.1706,289,120,41.52,2.01515E+12,F
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.1,0.4,15.2,0.3,0.2235,0.0097,0.0987,289,68,23.53,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.1,0.5,17.7,0.4,0.1718,0.0077,0.0875,289,103,35.64,2.01515E+12,F
MCD15A3H,Lai_500m,A2003017,17/01/2003,0.1,0.6,11.3,0.5,0.2974,0.0313,0.1769,289,38,13.15,2.01515E+12,F
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.1,0.3,5.9,0.2,0.1255,0.0028,0.0525,289,47,16.26,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003025,25/01/2003,0.1,0.1,0.1,0,0.1,0,0,289,1,0.35,2.01515E+12,F
MCD15A3H,Lai_500m,A2003029,29/01/2003,0.1,0.6,8.1,0.5,0.2025,0.0137,0.1172,289,40,13.84,2.01515E+12,F
MCD15A3H,Lai_500m,A2003033,02/02/2003,0.5,0.7,2.9,0.2,0.58,0.0056,0.0748,289,5,1.73,2.01515E+12,F
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.1,1.1,23.5,1,0.4519,0.0437,0.2089,289,52,17.99,2.01515E+12,F
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.1,0.3,3.1,0.2,0.1722,0.0042,0.065,289,18,6.23,2.01516E+12,F
MCD15A3H,Lai_500m,A2003045,14/02/2003,0.1,0.9,22.5,0.8,0.4245,0.0483,0.2197,289,53,18.34,2.01515E+12,F
