product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.6,5.4,471.8002,4.8,1.6382,0.5231,0.7233,289,288,99.65,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.7,5.3,484.1005,4.6,1.6751,0.3576,0.598,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.6,3.7,472.2002,3.1,1.6396,0.3315,0.5758,289,288,99.65,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.7,2.9,449.4004,2.2,1.555,0.2351,0.4848,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,3.8,500.3005,3.2,1.7311,0.4391,0.6626,289,289,100,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.6,3.2,487.1003,2.6,1.6855,0.3995,0.6321,289,289,100,2.01515E+12,3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.6,3.4,466.3002,2.8,1.6135,0.4027,0.6346,289,289,100,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.6,2.3,384.7002,1.7,1.3311,0.1662,0.4077,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.5,2.6,387.8001,2.1,1.3419,0.1762,0.4198,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,3.4,424.9001,2.9,1.4702,0.3318,0.5761,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.7,2.4,418.6001,1.7,1.4484,0.1316,0.3627,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,1.6,195.1,1.4,0.9954,0.0943,0.3071,289,196,67.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.9,3.3,514.8004,2.4,1.7813,0.1938,0.4402,289,289,100,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.5,2.8,445.6002,2.3,1.5801,0.1586,0.3983,289,282,97.58,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.4,4.3,461,3.9,1.5952,0.2752,0.5246,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.3,5.7,437.2002,5.4,1.5181,0.5339,0.7307,289,288,99.65,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,2.6,304.6001,2.3,1.054,0.1354,0.368,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,6.2,319.7,5.9,1.1062,0.4712,0.6865,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,3,265.9,2.7,0.9201,0.2368,0.4867,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,3.7,269.1999,3.4,0.9315,0.2707,0.5203,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,3.2,261.5999,2.9,0.9052,0.267,0.5167,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,3.5,235.9998,3.2,0.8166,0.3208,0.5664,289,289,100,2.01515E+12,0.6
