product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,2.1,57.9,2,0.5079,0.2842,0.5331,289,114,39.45,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,6.7,478.1003,6.6,1.7385,1.2061,1.0982,289,275,95.16,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.3,6.7,633.1,6.4,2.1983,1.2277,1.108,289,288,99.65,2.01515E+12,2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,6.8,516.4998,6.5,1.8513,0.7921,0.89,289,279,96.54,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.9,6.6,726,5.7,2.5121,1.3921,1.1799,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.1,6.8,391.3,6.7,1.7706,1.033,1.0164,289,221,76.47,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.6,6.7,590.6001,6.1,2.0796,1.1206,1.0586,289,284,98.27,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,5.4,605.8,4.7,2.1035,0.7792,0.8827,289,288,99.65,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.1,6.1,290.1,6,1.1201,1.056,1.0276,289,259,89.62,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,6.6,454.0001,6.5,1.663,1.5916,1.2616,289,273,94.46,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,3.6,391.5999,3.1,1.3645,0.3582,0.5985,289,287,99.31,2.01515E+12,1
MCD15A3H,Lai_500m,A2002233,21/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.6,5,431.5999,4.4,1.4934,0.4172,0.6459,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.3,6.4,325.6001,6.1,1.1345,0.2775,0.5268,289,287,99.31,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,2.4,257.2,2.1,0.89,0.161,0.4012,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1.4,102.1,1.3,0.3912,0.0573,0.2393,289,261,90.31,2.01515E+12,1
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,1.5,172.3,1.4,0.5962,0.0533,0.2309,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,1.4,190.9999,1.2,0.6609,0.0359,0.1894,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,1.2,162.1002,1.1,0.5609,0.0395,0.1989,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,1.4,175.1001,1.2,0.6059,0.0425,0.2061,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,1.3,114.9,1.2,0.399,0.0511,0.226,289,288,99.65,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,2.1,78.6999,2,0.2791,0.0543,0.233,289,282,97.58,2.01515E+12,1
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,2,37.7,1.9,0.2793,0.1209,0.3477,289,135,46.71,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002289,16/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002297,24/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002325,21/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002337,03/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002341,07/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003009,09/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003017,17/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003021,21/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003025,25/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003029,29/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003033,02/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003037,06/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003041,10/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003045,14/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003053,22/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003057,26/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003061,02/03/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003065,06/03/2003,0.1,0.5,34.0001,0.4,0.1659,0.0057,0.0753,289,205,70.93,2.01516E+12,F
MCD15A3H,Lai_500m,A2003069,10/03/2003,0.1,0.6,49.5,0.5,0.1875,0.0097,0.0986,289,264,91.35,2.01516E+12,F
MCD15A3H,Lai_500m,A2003073,14/03/2003,0.1,0.9,46.7,0.8,0.1762,0.0113,0.1064,289,265,91.7,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003077,18/03/2003,0.1,0.9,51.4,0.8,0.1985,0.0158,0.1255,289,259,89.62,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003081,22/03/2003,0.1,0.8,41,0.7,0.1925,0.0162,0.1272,289,213,73.7,2.01516E+12,F
MCD15A3H,Lai_500m,A2003085,26/03/2003,0.1,0.5,32.9001,0.4,0.1489,0.0055,0.0741,289,221,76.47,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003089,30/03/2003,0.1,0.8,40.1,0.7,0.1721,0.0102,0.1008,289,233,80.62,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003093,03/04/2003,0.1,0.4,28.6001,0.3,0.1375,0.0034,0.0583,289,208,71.97,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003097,07/04/2003,0.1,0.4,29.2001,0.3,0.1358,0.0035,0.0592,289,215,74.39,2.01516E+12,F
MCD15A3H,Lai_500m,A2003101,11/04/2003,0.1,0.3,24.9001,0.2,0.1132,0.0012,0.0351,289,220,76.12,2.01516E+12,F
MCD15A3H,Lai_500m,A2003105,15/04/2003,0.1,0.3,28.7001,0.2,0.1181,0.0018,0.0426,289,243,84.08,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003109,19/04/2003,0.1,0.5,50.3,0.4,0.192,0.0104,0.1018,289,262,90.66,2.01516E+12,0.2
MCD15A3H,Lai_500m,A2003113,23/04/2003,0.1,1.2,119.3001,1.1,0.4142,0.0264,0.1626,289,288,99.65,2.01516E+12,0.5
MCD15A3H,Lai_500m,A2003117,27/04/2003,0.3,1.7,210.9999,1.4,0.7301,0.0575,0.2399,289,289,100,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003121,01/05/2003,0.3,1.5,220.1,1.2,0.7616,0.0538,0.2319,289,289,100,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003125,05/05/2003,0.3,1.8,230.8002,1.5,0.7986,0.0566,0.2379,289,289,100,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003129,09/05/2003,0.1,1.2,103.3,1.1,0.4035,0.0553,0.2351,289,256,88.58,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003133,13/05/2003,0.2,1.5,240.6,1.3,0.8325,0.0625,0.2499,289,289,100,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003137,17/05/2003,0.2,1.6,185.1001,1.4,0.6405,0.069,0.2626,289,289,100,2.01516E+12,0.6
