product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.9,6.3,538.2997,5.4,2.2336,0.8422,0.9177,289,241,83.39,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,5.2,417.8,4.7,1.8245,0.4828,0.6948,289,229,79.24,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,6.7,647.6,5.7,2.7325,1.2871,1.1345,289,237,82.01,2.01515E+12,3.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,1,6.6,610.3001,5.6,2.6768,1.0885,1.0433,289,228,78.89,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.8,6.4,625.2002,5.6,2.7183,1.4645,1.2102,289,230,79.58,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.7,6.6,568.5,5.9,2.5493,1.1162,1.0565,289,223,77.16,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.2,6.8,693.3001,5.6,3.0408,1.3475,1.1608,289,228,78.89,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.5,6.7,645.5999,6.2,2.7472,2.0471,1.4308,289,235,81.31,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.1,6.6,663.0002,5.5,2.7741,1.2956,1.1382,289,239,82.7,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.7,6.8,661.6001,6.1,2.8153,1.5724,1.2539,289,235,81.31,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,1,6.5,721.9999,5.5,3.0336,1.3281,1.1524,289,238,82.35,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,3.2,158.4,2.7,1.3655,0.3335,0.5775,289,116,40.14,2.01515E+12,F
