product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,1.9,138.0001,1.7,0.4775,0.1093,0.3306,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,2.8,140.6001,2.6,0.4865,0.1734,0.4164,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,1.5,124.5001,1.3,0.4308,0.08,0.2828,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.2,2.2,124.5,2,0.4308,0.1009,0.3176,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,2,129.2002,1.8,0.4471,0.0811,0.2848,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,1.6,116.8001,1.4,0.4042,0.0649,0.2547,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,1.6,106.1001,1.4,0.3671,0.0485,0.2202,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,0.9,101.1001,0.7,0.3498,0.0307,0.1751,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,1.5,107.9001,1.3,0.3734,0.057,0.2387,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,1.1,100.2001,0.9,0.3467,0.0374,0.1933,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,1.1,102.5002,0.9,0.3547,0.0375,0.1936,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,0.9,94.3,0.7,0.3263,0.0257,0.1602,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,1.1,100.3,0.9,0.3471,0.0462,0.215,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,1.4,86.2999,1.3,0.2986,0.0313,0.1771,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,1.1,92.6999,0.9,0.3208,0.0322,0.1795,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1.1,88,1,0.3045,0.0264,0.1624,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,1.1,84.2999,1,0.2917,0.0291,0.1705,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.1,0.8,71.4,0.7,0.2471,0.0151,0.1228,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,1.1,88.5,1,0.3062,0.0245,0.1566,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,0.8,80.5,0.7,0.2785,0.0183,0.1353,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,0.8,72.7999,0.7,0.2519,0.0206,0.1436,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,1.1,70.3,1,0.2433,0.0177,0.1332,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,1,68.3,0.9,0.2363,0.0162,0.1271,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,0.7,76.6,0.6,0.2651,0.0106,0.1032,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,0.7,51.3999,0.6,0.1779,0.0111,0.1052,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,0.5,43.0999,0.4,0.1491,0.0082,0.0908,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.4,38.8,0.3,0.1343,0.0037,0.0609,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.5,39.8,0.4,0.1377,0.0059,0.0767,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,0.5,33.4001,0.4,0.129,0.0038,0.0613,289,259,89.62,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,0.4,39.5,0.3,0.1367,0.0049,0.0699,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,0.3,36.5,0.2,0.1263,0.0031,0.0558,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.4,44.6,0.3,0.1543,0.0047,0.0685,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.3,34.8,0.2,0.1204,0.0022,0.0474,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,0.3,37.2,0.2,0.1287,0.0032,0.0562,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.3,37.4,0.2,0.1294,0.0026,0.0513,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,0.3,37,0.2,0.128,0.0029,0.054,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,0.3,37.1,0.2,0.1284,0.0029,0.0541,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,0.2,32.2001,0.1,0.1114,0.001,0.0318,289,289,100,2.01515E+12,0.1
