product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.5,2.8,441.0001,2.3,1.526,0.2194,0.4684,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,2.2,412.4001,1.7,1.427,0.1465,0.3828,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.6,3.3,407.4998,2.7,1.41,0.1827,0.4274,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.6,2.6,427.9001,2,1.4806,0.1745,0.4177,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,2.6,406.0001,2,1.4048,0.1517,0.3895,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,2.5,390.2999,2,1.3505,0.1511,0.3887,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.6,2.4,373.0999,1.8,1.291,0.1007,0.3174,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.6,2.3,364.3001,1.7,1.2606,0.115,0.3391,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.5,2.1,376.8998,1.6,1.3042,0.1086,0.3296,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,2.2,379.6,1.7,1.3135,0.1083,0.3291,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,1.9,378.2,1.4,1.3087,0.1055,0.3248,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.6,2.1,384.9,1.5,1.3318,0.1096,0.331,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.5,2.2,364.4997,1.7,1.2612,0.1009,0.3177,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.5,1.9,352.9999,1.4,1.2215,0.109,0.3302,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.5,1.9,365,1.4,1.263,0.0936,0.306,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.5,2,370.6002,1.5,1.2824,0.0984,0.3137,289,289,100,2.01515E+12,1.7
