product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1,2.4,411.1004,1.4,1.4225,0.056,0.2366,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.8,2.8,479.1003,2,1.6578,0.1121,0.3348,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.1,3.8,555.3001,2.7,1.9215,0.1616,0.402,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,1,2.8,538.9002,1.8,1.8647,0.0837,0.2894,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.2,3.3,589.1003,2.1,2.0384,0.1551,0.3938,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.2,4.3,661.9003,3.1,2.2903,0.2228,0.472,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.4,6.4,626.4998,5,2.1678,0.2231,0.4723,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.2,5.8,597.3002,4.6,2.2287,0.3963,0.6295,289,268,92.73,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.2,3.4,658.1,2.2,2.2772,0.202,0.4494,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002225,13/08/2002,1.2,4.6,638.6001,3.4,2.2097,0.3485,0.5903,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.4,4.2,649.4,2.8,2.2471,0.1377,0.3711,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,5.7,333.8002,5.5,1.5971,0.8282,0.9101,289,209,72.32,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.5,3.9,661.4998,2.4,2.2889,0.1974,0.4443,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.2,3,494.8005,1.8,1.7121,0.0535,0.2312,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.2,2.6,479.2001,1.4,1.6581,0.055,0.2346,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.9,2.4,388.4003,1.5,1.3439,0.0378,0.1945,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.7,1.7,330.2,1,1.1426,0.0289,0.1701,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.6,1.4,237.2,0.8,0.8208,0.0231,0.152,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.4,1.7,194.0001,1.3,0.6713,0.0284,0.1686,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.4,1.6,185.9001,1.2,0.6433,0.0198,0.1406,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,1.4,162.8002,1.1,0.5633,0.0199,0.1411,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,1,114.2001,0.7,0.3952,0.0155,0.1247,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.3,1.4,127.2001,1.1,0.4401,0.0248,0.1576,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,2,95.1001,1.9,0.3291,0.0322,0.1795,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,1.3,91.4,1.2,0.3163,0.0165,0.1285,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,0.8,54.7,0.7,0.1893,0.0127,0.1125,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.8,75.7,0.7,0.2619,0.0085,0.0923,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.8,63.3999,0.7,0.2194,0.0144,0.1201,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,0.1,2.1,0,0.1,0,0,289,21,7.27,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,0.6,60.3,0.5,0.2087,0.0093,0.0964,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,0.7,53.2999,0.6,0.1844,0.0098,0.0991,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.7,60.4999,0.6,0.2093,0.0105,0.1023,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.6,49.2,0.5,0.1702,0.0089,0.0942,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,0.5,54.6,0.4,0.1889,0.0081,0.0901,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.5,48.5,0.4,0.1678,0.0076,0.0871,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,0.5,50.4,0.4,0.1744,0.0072,0.0846,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,0.4,47.5,0.3,0.1644,0.0063,0.0794,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,0.9,30.4001,0.8,0.1074,0.0043,0.0655,289,283,97.92,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.1,0.3,47.1,0.2,0.163,0.0061,0.0779,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.1,0.4,46.3,0.3,0.1602,0.006,0.0774,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,0.3,40.7,0.2,0.1408,0.0039,0.0628,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.1,0.3,26.4001,0.2,0.1228,0.0025,0.05,289,215,74.39,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.1,0.3,43.9,0.2,0.1519,0.0048,0.0691,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.1,0.3,40.1001,0.2,0.1388,0.003,0.0547,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.1,0.3,36.6001,0.2,0.128,0.0023,0.0479,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.1,0.3,5.8,0.2,0.1261,0.0045,0.0674,289,46,15.92,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.1,0.3,36,0.2,0.1246,0.0024,0.0491,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.1,0.3,34.8,0.2,0.1204,0.0025,0.0495,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.1,0.3,33.9001,0.2,0.1177,0.0021,0.0456,289,288,99.65,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003017,17/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.1,0.2,4.2,0.1,0.1024,0.0002,0.0154,289,41,14.19,2.01515E+12,F
