product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,1,158.6,0.7,0.5488,0.0158,0.1256,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,0.9,149.5999,0.6,0.5176,0.0197,0.1402,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.3,1,161.3,0.7,0.5581,0.0148,0.1215,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.4,1.1,159.2999,0.7,0.5512,0.0188,0.1372,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.3,1,151,0.7,0.5225,0.0155,0.1246,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,1,143.6,0.7,0.4969,0.0169,0.13,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.3,1.2,142,0.9,0.4913,0.0272,0.1648,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,0.9,140.5001,0.6,0.4862,0.0137,0.1171,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.3,0.9,133.5999,0.6,0.4623,0.0165,0.1286,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,0.9,138.6,0.6,0.4796,0.015,0.1224,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.3,0.9,136.3,0.6,0.4716,0.0146,0.1207,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,0.9,138.9,0.6,0.4806,0.0151,0.1227,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,0.9,133.9,0.6,0.4633,0.0151,0.1227,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.3,0.9,116.9,0.6,0.4045,0.0129,0.1135,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,0.6,61.5999,0.5,0.2131,0.0101,0.1007,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,0.9,140.5999,0.8,0.4865,0.0297,0.1723,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,0.7,121.2001,0.4,0.4194,0.0108,0.1038,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,0.9,124.9,0.6,0.4322,0.018,0.1343,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,0.8,119.4,0.5,0.4131,0.0131,0.1145,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,1,122.6,0.7,0.4242,0.014,0.1184,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,0.8,113.4,0.6,0.3924,0.0155,0.1246,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,0.9,117.5,0.6,0.4066,0.0131,0.1146,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.3,0.8,118.2,0.5,0.409,0.0124,0.1116,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,1.2,122.4,0.9,0.4235,0.0264,0.1624,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,0.9,101.6,0.6,0.3516,0.0087,0.0934,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,0.7,112.4,0.5,0.3889,0.0097,0.0985,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,0.8,123.9,0.5,0.4287,0.0127,0.1127,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.2,0.7,102.6,0.5,0.355,0.009,0.0951,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.2,0.7,95.9001,0.5,0.3318,0.0067,0.0817,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,0.8,95.1,0.7,0.3291,0.0089,0.0944,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,0.6,86.6,0.5,0.2997,0.0051,0.0713,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.6,84.5001,0.5,0.2924,0.0031,0.0553,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.6,84.4,0.5,0.292,0.0072,0.0851,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,0.6,73.4,0.5,0.254,0.0083,0.0911,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.7,84,0.6,0.2907,0.008,0.0893,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,0.7,64,0.6,0.2215,0.0088,0.0939,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,0.7,85.8,0.6,0.2969,0.0075,0.0866,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,0.6,70.5999,0.5,0.2443,0.0111,0.1054,289,289,100,2.01515E+12,0.3
