product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,6.7,822.0997,6.6,3.0336,5.4761,2.3401,289,271,93.77,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,6.6,922.1997,6.5,3.3054,3.7256,1.9302,289,279,96.54,2.01515E+12,6.5
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,6.6,643.8998,6.5,2.6175,4.6498,2.1563,289,246,85.12,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.5,6.6,1088.0996,5.1,3.7651,2.4204,1.5558,289,289,100,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,6.6,393.2001,6.5,2.9788,6.1258,2.475,289,132,45.67,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,6.7,1147.9994,6.2,3.9723,2.4455,1.5638,289,289,100,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.3,6.6,1035.3011,5.3,3.5824,3.3519,1.8308,289,289,100,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002217,05/08/2002,1,6.6,1007.2003,5.6,3.5217,3.1288,1.7688,289,286,98.96,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,6.6,693.5001,6.4,2.6071,2.4073,1.5515,289,266,92.04,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,6.7,1043.8003,6.5,3.7412,3.0824,1.7557,289,279,96.54,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,6.6,874.3,6.5,3.1678,2.6673,1.6332,289,276,95.5,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.3,6.6,1056.3002,5.3,3.6934,2.6069,1.6146,289,286,98.96,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.4,6.6,1027.3994,6.2,3.6433,2.9988,1.7317,289,282,97.58,2.01515E+12,6
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,6.6,625.5003,6.5,3.2409,6.3032,2.5106,289,193,66.78,2.01515E+12,6.5
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,6.7,959.6994,6.6,3.4398,2.5568,1.599,289,279,96.54,2.01515E+12,5
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,6.6,966.0003,6.4,3.3542,3.1758,1.7821,289,288,99.65,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.2,6.6,991.7,6.4,3.5418,3.1077,1.7629,289,280,96.89,2.01515E+12,F
MCD15A3H,Lai_500m,A2002257,14/09/2002,1.1,6.8,1037.9994,5.7,3.6167,2.4201,1.5557,289,287,99.31,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.9,6.7,952.3004,5.8,3.377,1.7787,1.3337,289,282,97.58,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,6.9,597.3,6.8,2.448,2.9859,1.728,289,244,84.43,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.5,6.1,931.5001,5.6,3.2915,1.5529,1.2462,289,283,97.92,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,6.2,741.9002,6,2.7077,2.2634,1.5045,289,274,94.81,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.7,6,865.9,5.3,3.0276,1.8716,1.3681,289,286,98.96,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002281,08/10/2002,1,6.8,816.7,5.8,2.9168,1.9225,1.3865,289,280,96.89,2.01515E+12,5.4
