product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,0.4,64.6001,0.2,0.2235,0.0019,0.0432,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,0.4,69.0001,0.2,0.2388,0.0027,0.0521,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,2.2,73,2,0.2526,0.0158,0.1256,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,0.4,60.6001,0.3,0.2097,0.0011,0.0329,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,0.6,66.0001,0.4,0.2284,0.0031,0.0554,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,0.4,68.4001,0.2,0.2367,0.0025,0.0496,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,0.4,61.4001,0.3,0.2125,0.002,0.0446,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,0.7,84.9001,0.5,0.2938,0.0068,0.0825,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,0.7,97.6001,0.5,0.3377,0.0132,0.115,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,1.1,103.9,0.9,0.3595,0.0115,0.1071,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,1.1,95.4001,0.9,0.3301,0.0138,0.1175,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,0.9,91.1001,0.7,0.3152,0.0128,0.1133,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,0.7,84.6001,0.5,0.2927,0.0075,0.0863,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,0.8,110.6,0.6,0.3827,0.0103,0.1014,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,0.9,114.5999,0.7,0.3965,0.019,0.1379,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,0.8,98.7999,0.7,0.3419,0.0215,0.1467,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.2,0.9,130.7999,0.7,0.4526,0.0299,0.1729,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,1.1,129.7999,0.8,0.4491,0.0293,0.1711,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,1.1,134.4999,0.8,0.4654,0.0297,0.1722,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,0.8,123.0999,0.6,0.426,0.0157,0.1253,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,1.1,126.9999,0.9,0.4394,0.0231,0.1522,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,1.1,121.1,0.9,0.419,0.0166,0.1287,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.2,0.7,109.2001,0.5,0.3779,0.0091,0.0955,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,0.7,114.7001,0.4,0.3969,0.0089,0.0942,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.2,0.5,87.0001,0.3,0.301,0.004,0.0636,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,0.7,95.0001,0.5,0.3287,0.0057,0.0756,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.2,1.4,99.3002,1.2,0.3436,0.0211,0.1452,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.2,0.6,92.5,0.4,0.3201,0.006,0.0772,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.2,0.7,85.4001,0.5,0.2955,0.0065,0.0807,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.2,0.4,74.4001,0.2,0.2574,0.0027,0.0515,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.2,0.5,79.6001,0.3,0.2754,0.0037,0.061,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.2,0.5,75.9001,0.3,0.2626,0.0031,0.0557,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.2,0.4,72.3001,0.2,0.2502,0.0033,0.0571,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.2,0.3,72.9001,0.1,0.2522,0.0025,0.0499,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.2,0.4,66.3,0.2,0.2294,0.0021,0.0463,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,0.3,63.5001,0.2,0.2197,0.0017,0.0415,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,0.3,61.7001,0.2,0.2135,0.0021,0.0462,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.2,0.3,67.6001,0.1,0.2339,0.0022,0.0473,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.1,0.3,56.2001,0.2,0.1945,0.0023,0.0482,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.2,0.3,63.8001,0.1,0.2208,0.0016,0.0406,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,0.3,43.8,0.2,0.1526,0.0031,0.0559,289,287,99.31,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.1,0.3,55.0001,0.2,0.1903,0.0012,0.0339,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.1,0.4,37.1,0.3,0.1284,0.0028,0.0529,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.1,0.3,60.8001,0.2,0.2104,0.001,0.0316,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.1,0.3,59.0001,0.2,0.2042,0.0011,0.033,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.1,0.3,59.0001,0.2,0.2042,0.0011,0.033,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.1,0.3,57.1001,0.2,0.1976,0.0021,0.0459,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.2,0.3,59.8001,0.1,0.2069,0.0006,0.0254,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.1,0.3,52.6001,0.2,0.182,0.0021,0.0458,289,289,100,2.01515E+12,0.2
