product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,0.3,58.6001,0.2,0.2028,0.0005,0.0234,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,0.3,57.6001,0.2,0.1993,0.0003,0.0166,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,0.3,66,0.1,0.2284,0.002,0.0451,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.2,0.3,58.5001,0.1,0.2024,0.0002,0.0154,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,0.3,58.0001,0.2,0.2007,0.0003,0.0166,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,0.3,58.4001,0.1,0.2021,0.0002,0.0143,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,0.3,61.8001,0.1,0.2138,0.0012,0.0345,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,0.5,82.4,0.3,0.2851,0.0074,0.0862,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,0.6,96.8001,0.4,0.3349,0.0061,0.0784,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,0.6,98.9001,0.4,0.3422,0.0069,0.0833,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,0.6,86.3,0.4,0.2986,0.0056,0.0749,289,289,100,2.01515E+12,0.3
