product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,3.8,193.7,3.7,1.1669,0.2398,0.4897,289,166,57.44,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,3.7,188.3,3.5,1.1412,0.2433,0.4932,289,165,57.09,2.01515E+12,1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,2.8,167.1,2.6,1.0066,0.1407,0.3752,289,166,57.44,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,2.8,181.8,2.7,1.1018,0.2285,0.4781,289,165,57.09,2.01515E+12,1
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,3.5,186.4,3.4,1.1297,0.2638,0.5136,289,165,57.09,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,3.3,182.5,3.1,1.0994,0.185,0.4301,289,166,57.44,2.01515E+12,1
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,2.4,155.8999,2.2,0.9683,0.1485,0.3854,289,161,55.71,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,2.8,148.2,2.7,0.8982,0.1403,0.3746,289,165,57.09,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,2.6,166.7,2.4,1.0103,0.1655,0.4069,289,165,57.09,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,2.5,156.1,2.3,0.9461,0.1346,0.3669,289,165,57.09,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,3,159.8,2.9,0.9685,0.1534,0.3917,289,165,57.09,2.01515E+12,1
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,2.3,167.3,2.2,1.0139,0.174,0.4172,289,165,57.09,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,3,165.7,2.8,1.0042,0.1597,0.3996,289,165,57.09,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,3,165,2.8,1,0.2027,0.4502,289,165,57.09,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,3,173.9999,2.8,1.0482,0.2218,0.4709,289,166,57.44,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,3,171.5,2.9,1.0394,0.2373,0.4871,289,165,57.09,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,2.7,155.4,2.6,0.9418,0.169,0.4111,289,165,57.09,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.1,2.9,144.1,2.8,0.884,0.159,0.3988,289,163,56.4,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,2.4,151.7,2.3,0.9194,0.1639,0.4048,289,165,57.09,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,3,159.9999,2.9,0.9639,0.2179,0.4667,289,166,57.44,2.01515E+12,1
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,2.4,145.8,2.3,0.8783,0.1877,0.4333,289,166,57.44,2.01515E+12,1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,2.5,145,2.3,0.8735,0.158,0.3975,289,166,57.44,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,2.2,154.8,2.1,0.9325,0.1506,0.3881,289,166,57.44,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.2,2.9,135.7,2.7,0.8175,0.1788,0.4228,289,166,57.44,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,1.8,145.8,1.7,0.8783,0.14,0.3742,289,166,57.44,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,2,131.8,1.9,0.794,0.1318,0.363,289,166,57.44,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,1.8,121.5,1.7,0.7319,0.1016,0.3187,289,166,57.44,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,1.7,111.5,1.6,0.6717,0.1213,0.3483,289,166,57.44,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,1.7,114.4,1.6,0.6892,0.0959,0.3097,289,166,57.44,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,1.4,91.8,1.3,0.553,0.0598,0.2446,289,166,57.44,2.01515E+12,0.5
