product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.5,6.7,833.2003,6.2,4.5283,2.8646,1.6925,289,184,63.67,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.6,6.8,719.1002,6.2,4.5226,1.6131,1.2701,289,159,55.02,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.4,6.8,1192.2997,6.4,4.7502,2.214,1.4879,289,251,86.85,2.01515E+12,6.8
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.4,6.8,1122.6005,6.4,4.6971,2.4301,1.5589,289,239,82.7,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.8,6.8,990.7997,6,4.5242,2.0093,1.4175,289,219,75.78,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.6,6.8,847.5002,6.2,3.4173,3.1064,1.7625,289,248,85.81,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.5,6.8,986.7999,6.3,4.1117,2.4065,1.5513,289,240,83.04,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.9,6.7,988.0996,5.8,3.757,2.5551,1.5985,289,263,91,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.9,6.8,1262.7004,5.9,4.9909,1.4261,1.1942,289,253,87.54,2.01515E+12,5
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.7,6.6,754.7,5.9,3.1844,2.4599,1.5684,289,237,82.01,2.01515E+12,5
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,6.8,1170.1005,6.3,4.7565,1.5729,1.2541,289,246,85.12,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,2.8,221.9999,2.6,1.2198,0.2557,0.5056,289,182,62.98,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.9,6.7,1179.2997,5.8,4.467,1.0001,1,289,264,91.35,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.9,6.8,1277.2998,5.9,4.82,1.1134,1.0552,289,265,91.7,2.01515E+12,4.8
