product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,6.4,363.5001,6.2,1.5146,1.0272,1.0135,289,240,83.04,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,5.8,363.2001,5.6,1.5133,0.8697,0.9326,289,240,83.04,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,6.4,335.7001,6.2,1.4165,0.7337,0.8566,289,237,82.01,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.2,6.4,369.6,6.2,1.5464,0.9637,0.9817,289,239,82.7,2.01515E+12,2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,5.9,394.5997,5.7,1.651,1.0927,1.0453,289,239,82.7,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,4.8,367.1002,4.6,1.536,0.7444,0.8628,289,239,82.7,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,4.1,314.7,4,1.3391,0.5706,0.7554,289,235,81.31,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,4.2,295.9002,4,1.2591,0.5714,0.7559,289,235,81.31,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,3.2,332.3001,3,1.3846,0.5303,0.7282,289,240,83.04,2.01515E+12,2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,3.7,307.7,3.5,1.2821,0.4547,0.6743,289,240,83.04,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,2.6,291.6,2.4,1.215,0.3934,0.6272,289,240,83.04,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,4.2,297.3001,4,1.2388,0.4322,0.6574,289,240,83.04,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,2.4,271.5,2.2,1.1313,0.2977,0.5456,289,240,83.04,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,2.6,255.6999,2.4,1.0654,0.2763,0.5256,289,240,83.04,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,2.5,240.3,2.3,1.0012,0.22,0.469,289,240,83.04,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,2.6,223.6,2.4,0.9317,0.2255,0.4749,289,240,83.04,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.2,1.9,191.2,1.7,0.7967,0.1592,0.3989,289,240,83.04,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.1,2,170.8,1.9,0.7117,0.1181,0.3437,289,240,83.04,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,1.9,164.4999,1.7,0.6854,0.1057,0.3252,289,240,83.04,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,1.8,153.9,1.6,0.6413,0.0903,0.3004,289,240,83.04,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,1.6,138.7,1.5,0.5779,0.0789,0.2809,289,240,83.04,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,1.6,137.8,1.4,0.5742,0.0691,0.2628,289,240,83.04,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.2,1.6,138.1,1.4,0.5754,0.0644,0.2538,289,240,83.04,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,1.3,128.6999,1.2,0.5362,0.0486,0.2206,289,240,83.04,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,1.4,130.9,1.3,0.5454,0.0684,0.2615,289,240,83.04,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,1.4,117.5,1.2,0.4896,0.0584,0.2417,289,240,83.04,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,1.4,106.4,1.3,0.4433,0.046,0.2144,289,240,83.04,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,1.1,98.4001,1,0.41,0.0433,0.2081,289,240,83.04,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,1.2,92.6001,1.1,0.3858,0.0397,0.1993,289,240,83.04,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,0.8,78.6,0.7,0.3275,0.022,0.1483,289,240,83.04,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,1,67.5,0.9,0.2812,0.0214,0.1461,289,240,83.04,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.5,37.3,0.4,0.1554,0.0077,0.0879,289,240,83.04,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.8,47.8999,0.7,0.1996,0.0189,0.1374,289,240,83.04,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,0.7,61.2999,0.6,0.2554,0.0209,0.1445,289,240,83.04,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.6,46.8999,0.5,0.2013,0.0164,0.1282,289,233,80.62,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,0.7,62.8999,0.6,0.2621,0.0253,0.159,289,240,83.04,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,0.7,56.5999,0.6,0.2358,0.0229,0.1513,289,240,83.04,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,0.7,61.1999,0.6,0.255,0.0216,0.1471,289,240,83.04,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.1,0.7,51.6999,0.6,0.2154,0.0222,0.1491,289,240,83.04,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.1,0.3,4.7,0.2,0.1205,0.0027,0.0515,289,39,13.49,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,0.9,50.9999,0.8,0.2247,0.0356,0.1887,289,227,78.55,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.1,1.1,56.3999,1,0.2452,0.0413,0.2031,289,230,79.58,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.1,0.9,48.2999,0.8,0.2368,0.0376,0.194,289,204,70.59,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.1,0.8,42.9999,0.7,0.1963,0.0244,0.1561,289,219,75.78,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.1,1,55.1999,0.9,0.231,0.0349,0.1869,289,239,82.7,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.1,0.7,42.8,0.6,0.1791,0.0126,0.1123,289,239,82.7,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.1,1.2,68.7999,1.1,0.3031,0.0463,0.2152,289,227,78.55,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.1,0.1,3.9,0,0.1,0,0,289,39,13.49,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.1,1.4,78.0999,1.3,0.3254,0.0684,0.2615,289,240,83.04,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003017,17/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.1,1,41.5999,0.9,0.2167,0.0388,0.1969,289,192,66.44,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003025,25/01/2003,0.1,2,105.7,1.9,0.4404,0.0837,0.2894,289,240,83.04,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003029,29/01/2003,0.1,0.1,5.6,0,0.1,0,0,289,56,19.38,2.01515E+12,F
MCD15A3H,Lai_500m,A2003033,02/02/2003,0.1,2.8,190.0002,2.7,0.7917,0.1538,0.3922,289,240,83.04,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.1,4.2,192.8003,4.1,0.8033,0.21,0.4582,289,240,83.04,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.1,1.4,149.8001,1.3,0.6242,0.1032,0.3212,289,240,83.04,2.01516E+12,0.3
MCD15A3H,Lai_500m,A2003045,14/02/2003,0.1,1.2,108.2,1.1,0.4508,0.0677,0.2601,289,240,83.04,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003049,18/02/2003,0.1,3.4,245.8002,3.3,1.0242,0.337,0.5805,289,240,83.04,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003053,22/02/2003,0.1,3.6,255.3001,3.5,1.0638,0.3187,0.5646,289,240,83.04,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003057,26/02/2003,0.2,4.2,294,4,1.225,0.5527,0.7434,289,240,83.04,2.01516E+12,1.2
MCD15A3H,Lai_500m,A2003061,02/03/2003,0.1,5.3,292.4001,5.2,1.2183,0.5852,0.765,289,240,83.04,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003065,06/03/2003,0.1,6.4,302.1,6.3,1.2588,0.8017,0.8954,289,240,83.04,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003069,10/03/2003,0.1,5.1,283.6,5,1.1866,0.7515,0.8669,289,239,82.7,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003073,14/03/2003,0.1,6.6,277.8002,6.5,1.1575,1.4215,1.1923,289,240,83.04,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003077,18/03/2003,0.2,6.8,293.4001,6.6,1.2225,0.8797,0.9379,289,240,83.04,2.01516E+12,1.5
MCD15A3H,Lai_500m,A2003081,22/03/2003,0.2,5.3,266.2001,5.1,1.1232,0.9553,0.9774,289,237,82.01,2.01516E+12,1.5
MCD15A3H,Lai_500m,A2003085,26/03/2003,0.1,6.5,289.2001,6.4,1.205,0.9643,0.982,289,240,83.04,2.01516E+12,2.1
MCD15A3H,Lai_500m,A2003089,30/03/2003,0.2,6.6,242.1001,6.4,1.0088,0.574,0.7577,289,240,83.04,2.01516E+12,1
MCD15A3H,Lai_500m,A2003093,03/04/2003,0.1,6.6,275.8002,6.5,1.1492,0.9754,0.9876,289,240,83.04,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003097,07/04/2003,0.2,3.8,252.4001,3.6,1.0517,0.5072,0.7122,289,240,83.04,2.01516E+12,1.6
MCD15A3H,Lai_500m,A2003101,11/04/2003,0.1,6.1,308.8,6,1.2867,1.1684,1.0809,289,240,83.04,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003105,15/04/2003,0.1,4.6,238.1999,4.5,0.9925,0.963,0.9813,289,240,83.04,2.01516E+12,0.3
MCD15A3H,Lai_500m,A2003109,19/04/2003,0.2,2.5,181.2,2.3,0.8199,0.1872,0.4327,289,221,76.47,2.01516E+12,1.2
MCD15A3H,Lai_500m,A2003113,23/04/2003,0.1,2.3,114.7,2.2,0.5143,0.119,0.3449,289,223,77.16,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003117,27/04/2003,0.1,4.6,243.4,4.5,1.0142,0.623,0.7893,289,240,83.04,2.01516E+12,1
MCD15A3H,Lai_500m,A2003121,01/05/2003,0.1,4.7,155.4,4.6,0.6613,0.4121,0.6419,289,235,81.31,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003125,05/05/2003,0.2,6.4,253.6,6.2,1.0567,0.4442,0.6665,289,240,83.04,2.01516E+12,1.5
MCD15A3H,Lai_500m,A2003129,09/05/2003,0.2,3,229.2,2.8,0.955,0.2843,0.5332,289,240,83.04,2.01516E+12,1.1
MCD15A3H,Lai_500m,A2003133,13/05/2003,0.1,2.8,217.4,2.7,0.9058,0.228,0.4775,289,240,83.04,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003137,17/05/2003,0.2,2.5,195.3,2.3,0.8138,0.2118,0.4602,289,240,83.04,2.01516E+12,1.2
MCD15A3H,Lai_500m,A2003141,21/05/2003,0.1,3.1,181.4,3,0.7558,0.1614,0.4017,289,240,83.04,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003145,25/05/2003,0.2,2.6,173.2,2.4,0.7217,0.1262,0.3552,289,240,83.04,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003149,29/05/2003,0.1,2.7,185.9,2.6,0.7746,0.1605,0.4006,289,240,83.04,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003153,02/06/2003,0.2,2.5,180,2.3,0.75,0.151,0.3886,289,240,83.04,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003157,06/06/2003,0.1,2.3,196.4,2.2,0.8183,0.1634,0.4042,289,240,83.04,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003161,10/06/2003,0.3,5.2,209.6,4.9,0.8733,0.2482,0.4982,289,240,83.04,2.01516E+12,0.5
MCD15A3H,Lai_500m,A2003165,14/06/2003,0.1,2.7,236.8999,2.6,0.9871,0.2771,0.5264,289,240,83.04,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003169,18/06/2003,0.2,3.7,235.6999,3.5,0.9821,0.3212,0.5668,289,240,83.04,2.01516E+12,0.5
MCD15A3H,Lai_500m,A2003173,22/06/2003,0.3,3.3,264.8999,3,1.1037,0.355,0.5958,289,240,83.04,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003177,26/06/2003,0.2,4.6,297.4,4.4,1.2392,0.5212,0.722,289,240,83.04,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003181,30/06/2003,0.3,4.8,353.3999,4.5,1.4725,0.7391,0.8597,289,240,83.04,2.01516E+12,1.6
MCD15A3H,Lai_500m,A2003185,04/07/2003,0.2,6.8,367.4999,6.6,1.5312,0.9957,0.9979,289,240,83.04,2.01516E+12,1.1
MCD15A3H,Lai_500m,A2003189,08/07/2003,0.2,5,342,4.8,1.425,0.7253,0.8516,289,240,83.04,2.01516E+12,1.5
MCD15A3H,Lai_500m,A2003193,12/07/2003,0.1,6.9,378.8001,6.8,1.6051,0.9602,0.9799,289,236,81.66,2.01508E+12,1.6
MCD15A3H,Lai_500m,A2003197,16/07/2003,0.1,6.3,383.2,6.2,1.6033,1.0721,1.0354,289,239,82.7,2.01508E+12,2.1
MCD15A3H,Lai_500m,A2003201,20/07/2003,0.2,3.9,351.2999,3.7,1.4699,0.6598,0.8123,289,239,82.7,2.01508E+12,1.9
MCD15A3H,Lai_500m,A2003205,24/07/2003,0.2,5.2,371.0001,5,1.5458,0.7182,0.8475,289,240,83.04,2.01508E+12,1.9
