product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.4,6.8,1084.5002,5.4,5.0916,1.6246,1.2746,289,213,73.7,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.8,6.8,895.2997,6,4.3887,2.1266,1.4583,289,204,70.59,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.8,6.9,1110.1998,5.1,5.2122,1.6913,1.3005,289,213,73.7,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.2,6.8,1157.6998,5.6,4.8643,1.6591,1.2881,289,238,82.35,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.3,6.8,890,6.5,4.7594,2.2734,1.5078,289,187,64.71,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,6.8,725.0997,6.6,4.0061,2.8054,1.6749,289,181,62.63,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.7,6.8,864.6,6.1,4.5989,2.2532,1.5011,289,188,65.05,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.6,6.8,707,6.2,3.7016,2.8998,1.7029,289,191,66.09,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.4,6.8,1149.3994,5.4,4.9758,1.6842,1.2978,289,231,79.93,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.7,6.9,1064.2994,6.2,4.9046,1.6785,1.2956,289,217,75.09,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.3,6.8,814.3998,6.5,4.072,2.2223,1.4907,289,200,69.2,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,6.8,493.7001,6.5,3.7402,3.8477,1.9616,289,132,45.67,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.5,6.8,901.2999,6.3,4.1727,2.2598,1.5033,289,216,74.74,2.01515E+12,6.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.2,6.8,1111.3999,5.6,4.6697,1.4925,1.2217,289,238,82.35,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.5,6.7,793.8997,6.2,3.5128,2.8513,1.6886,289,226,78.2,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002249,06/09/2002,1,6.8,1087.9005,5.8,4.7095,2.0796,1.4421,289,231,79.93,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.6,6.8,734.1002,6.2,3.4304,2.4526,1.5661,289,214,74.05,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002257,14/09/2002,1,6.7,1092.5004,5.7,4.6097,1.6358,1.279,289,237,82.01,2.01515E+12,6
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,6.2,456.3,5.9,2.578,2.2252,1.4917,289,177,61.25,2.01515E+12,1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,6.8,357.1999,6.7,1.9308,2.9358,1.7134,289,185,64.01,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,5.5,769.9,5.2,3.2762,1.9363,1.3915,289,235,81.31,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.7,6.1,748.2997,5.4,3.1708,2.3633,1.5373,289,236,81.66,2.01515E+12,5
