product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,2,6.8,1011.9,4.8,5.1365,1.5129,1.23,289,197,68.17,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.8,6.8,814.2,6,4.4011,2.2114,1.4871,289,185,64.01,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.9,6.9,1040.2001,5,5.2535,1.3174,1.1478,289,198,68.51,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.6,6.8,1060.4,5.2,4.9551,1.4007,1.1835,289,214,74.05,2.01515E+12,6.4
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.3,6.8,843.5999,6.5,4.7932,2.4136,1.5536,289,176,60.9,2.01515E+12,5
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,6.8,644.5001,6.6,3.9299,2.9267,1.7108,289,164,56.75,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.7,6.8,799.7998,6.1,4.5443,2.3544,1.5344,289,176,60.9,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.6,6.8,646.2001,6.2,3.7789,3.0003,1.7321,289,171,59.17,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.7,6.8,1029.0997,5.1,4.9715,1.4352,1.198,289,207,71.63,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.7,6.8,977.6994,6.1,4.8401,1.6395,1.2804,289,202,69.9,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.4,6.8,728.9998,6.4,4.0726,2.0076,1.4169,289,179,61.94,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,6.8,414.3,6.5,3.511,4.0839,2.0209,289,118,40.83,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.5,6.8,844,6.3,4.22,2.4934,1.5791,289,200,69.2,2.01515E+12,6
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.2,6.8,1007.7,5.6,4.731,1.2494,1.1178,289,213,73.7,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.5,6.7,720.8998,6.2,3.4995,2.8453,1.6868,289,206,71.28,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,1,6.8,960.1001,5.8,4.7296,1.63,1.2767,289,203,70.24,2.01515E+12,6.7
