product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,1.5,264.4999,1.2,0.9152,0.0407,0.2018,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,1.7,300.3001,1.4,1.0391,0.0707,0.2659,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.4,1.1,232.4,0.7,0.8042,0.0237,0.1538,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,1.4,284.9001,1.1,0.9858,0.0569,0.2386,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.3,1.3,257.3,1,0.8903,0.0385,0.1963,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,1.5,271.3,1.2,0.9388,0.0511,0.226,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.3,1.4,249.1,1.1,0.8619,0.0334,0.1826,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.4,1.3,248.1,0.9,0.8585,0.031,0.1761,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.3,1.3,263.4001,1,0.9114,0.0347,0.1863,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,1.3,250.7001,1,0.8675,0.0321,0.1791,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.4,1.4,272.4001,1,0.9426,0.0424,0.206,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,1.2,246.5999,0.9,0.8533,0.0294,0.1715,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,1.4,259.9,1.1,0.8993,0.0448,0.2116,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.3,1.1,234.3,0.8,0.8107,0.0282,0.168,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,1.4,260.5001,1.1,0.9014,0.0442,0.2101,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.3,1.1,209.2999,0.8,0.7242,0.0197,0.1403,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,1.3,223.5,1,0.7734,0.0328,0.1812,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,0.9,184,0.6,0.6367,0.0118,0.1086,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,1.1,221.2999,0.9,0.7657,0.0248,0.1575,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,1.1,202.2999,0.8,0.7,0.0168,0.1297,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,1.8,218.3001,1.5,0.7554,0.033,0.1816,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,1,197.0001,0.7,0.6817,0.0174,0.132,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.3,1.1,215.1001,0.8,0.7443,0.025,0.158,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,0.9,192.4999,0.6,0.6661,0.0107,0.1034,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,1.1,213.5999,0.8,0.7391,0.0211,0.1451,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,1,201.7,0.8,0.6979,0.0228,0.1511,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,1,178.6998,0.7,0.6183,0.0172,0.1312,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.3,0.8,166.5999,0.5,0.5765,0.0157,0.1253,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.3,0.8,168.3998,0.5,0.5827,0.0156,0.125,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.2,0.8,150.4999,0.6,0.5208,0.0115,0.1071,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.2,0.8,158.0999,0.6,0.5471,0.0165,0.1283,289,289,100,2.01515E+12,0.5
