product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,3.8,99.2,3.7,1.6262,1.0626,1.0308,289,61,21.11,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,2.9,348.5,2.7,1.2446,0.1933,0.4397,289,280,96.89,2.01515E+12,1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,3.5,237.7999,3.3,1.0384,0.3659,0.6049,289,229,79.24,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,4.8,220.2001,4.7,0.9874,0.4754,0.6895,289,223,77.16,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.4,3.1,438.5,2.7,1.5332,0.1728,0.4157,289,286,98.96,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,5.1,350.4001,4.9,1.3477,0.5475,0.7399,289,260,89.97,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,2.3,170.8,2.1,0.8212,0.1335,0.3654,289,208,71.97,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,3.2,221.5001,3.1,1.1845,0.3601,0.6001,289,187,64.71,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.9,3.4,537.2999,2.5,1.8592,0.1264,0.3556,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,2.5,441.9996,1.9,1.5294,0.1069,0.3269,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,3,446.6,2.8,1.5453,0.2053,0.4531,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.6,5.6,414.8997,5,1.4356,0.2345,0.4842,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,3.1,440.5999,2.8,1.5246,0.2025,0.45,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,2.5,309.4001,2.3,1.363,0.2486,0.4986,289,227,78.55,2.01515E+12,2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,3.6,319.2,3.4,1.33,0.4639,0.6811,289,240,83.04,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.3,3.9,263,3.6,1.1741,0.4556,0.675,289,224,77.51,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,2.9,53.9,2.8,0.5337,0.4298,0.6556,289,101,34.95,2.01515E+12,F
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.6,2.4,422.3997,1.8,1.4616,0.1062,0.3258,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.5,3.8,444,3.3,1.5363,0.241,0.4909,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.8,2.6,449.6001,1.8,1.5557,0.1179,0.3434,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,4.8,431.0999,4.6,1.5507,0.6208,0.7879,289,278,96.19,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.6,4.4,394.2999,3.8,1.3644,0.3522,0.5935,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.7,2.2,408.3997,1.5,1.4131,0.0796,0.282,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.7,2.2,391.4994,1.5,1.3547,0.0681,0.2609,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.4,1.7,291.8001,1.3,1.0097,0.0437,0.2091,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,3.6,278.1,3.3,0.9623,0.0833,0.2886,289,289,100,2.01515E+12,1
