product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,4.5,150.3998,4.3,0.5204,0.5051,0.7107,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,2.9,148.1999,2.7,0.5128,0.276,0.5254,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,3.7,140.2998,3.5,0.4855,0.3309,0.5752,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.2,3.6,145.9998,3.4,0.5052,0.3073,0.5543,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,3.2,153.6999,3,0.5318,0.3181,0.564,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,2,118.8999,1.8,0.4114,0.1099,0.3316,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,3,147.8,2.8,0.5114,0.2917,0.5401,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,2,118.1999,1.9,0.409,0.1176,0.343,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,2.4,133.9,2.2,0.4633,0.1625,0.4032,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,1.7,114.3999,1.5,0.3958,0.0944,0.3072,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,1.5,112.9002,1.3,0.3907,0.0667,0.2583,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,1.4,106.1999,1.2,0.3675,0.0673,0.2595,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,1.1,98.5,0.9,0.3408,0.0456,0.2135,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,1.2,91.4999,1,0.3166,0.0367,0.1915,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,1.1,96.2,0.9,0.3329,0.0393,0.1982,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,0.8,82.3998,0.6,0.2851,0.024,0.1548,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,1,78.4,0.9,0.2741,0.0232,0.1525,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,0.7,80.5998,0.5,0.2789,0.0204,0.1429,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,0.7,84.6999,0.5,0.2931,0.0221,0.1487,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,0.9,89.1999,0.7,0.3087,0.0227,0.1508,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,0.7,75.3999,0.6,0.2609,0.0173,0.1314,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,1.7,84.9998,1.5,0.2941,0.0408,0.2019,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,0.6,74.5999,0.5,0.2581,0.0104,0.1019,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.2,0.6,78.1,0.4,0.2702,0.0124,0.1114,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.2,0.5,68.0001,0.3,0.2353,0.005,0.0706,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,0.5,54.5,0.4,0.1886,0.0069,0.083,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.9,67.3,0.8,0.2329,0.0118,0.1084,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.3,40.7999,0.2,0.1412,0.0049,0.0701,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002301,28/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
