product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.9,6.9,1175.6997,6,4.2753,1.2715,1.1276,289,275,95.16,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.6,6.5,1153.9996,4.9,4.5613,1.0646,1.0318,289,253,87.54,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.1,6.8,1499.2996,5.7,5.2979,0.734,0.8567,289,283,97.92,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.5,6.8,1414.0002,6.3,5.3358,0.8937,0.9454,289,265,91.7,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.5,6.7,481.9,6.2,3.9179,3.919,1.9797,289,123,42.56,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,2.2,6.8,1461.4995,4.6,5.3339,0.5438,0.7374,289,274,94.81,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.6,6.8,1142.7997,6.2,4.7617,2.5079,1.5836,289,240,83.04,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.2,6.5,1129.5002,5.3,4.2146,0.7365,0.8582,289,268,92.73,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002221,09/08/2002,2.7,6.8,1494.4005,4.1,5.4145,0.5086,0.7132,289,276,95.5,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.7,6.7,710.3002,6,3.7984,2.7915,1.6708,289,187,64.71,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.7,6.8,1442.9005,6.1,5.1717,0.9919,0.9959,289,279,96.54,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,6.6,993.8004,6.1,4.71,1.2567,1.121,289,211,73.01,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.7,6.9,1178.5002,6.2,4.5502,0.8639,0.9295,289,259,89.62,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.7,6.8,1273.7002,6.1,4.5167,1.6607,1.2887,289,282,97.58,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.4,6.8,1335.7001,5.4,4.6703,0.6786,0.8238,289,286,98.96,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.5,6.8,1426.1995,6.3,5.0936,0.6679,0.8172,289,280,96.89,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.2,6.8,1375.099,5.6,4.8419,0.4545,0.6741,289,284,98.27,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.8,6.5,1312.0997,5.7,4.5878,0.4028,0.6346,289,286,98.96,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.5,6.7,273.3999,6.2,1.939,2.0676,1.4379,289,141,48.79,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.5,6.8,1070.2,6.3,4.0082,1.5296,1.2368,289,267,92.39,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002269,26/09/2002,1.7,6.7,1166.4991,5,4.0503,1.0626,1.0308,289,288,99.65,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,1.4,6.6,833.4,5.2,2.8837,0.9719,0.9859,289,289,100,2.01515E+12,3
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.4,5.5,557.6002,5.1,1.9361,0.3464,0.5886,289,288,99.65,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.7,1.3,212.4999,0.6,0.9004,0.0146,0.1209,289,236,81.66,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.2,5.8,238.3,5.6,0.9272,0.196,0.4427,289,257,88.93,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,1.7,123.4,1.5,0.6461,0.0668,0.2584,289,191,66.09,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.5,14,0.4,0.2857,0.0188,0.137,289,49,16.96,2.01515E+12,F
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.2,1.6,172.4001,1.4,0.7731,0.0497,0.2229,289,223,77.16,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.6,2.7,267.4,2.1,0.9253,0.1069,0.327,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.5,3.9,278.9,3.4,0.9651,0.1748,0.4181,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.3,1.2,140.3001,0.9,0.4855,0.0184,0.1357,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,2.2,190.9999,2.1,0.7893,0.0829,0.2879,289,242,83.74,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.3,1,0.2,0.125,0.0044,0.0661,289,8,2.77,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.3,3.1,243.8001,2.8,0.8465,0.1712,0.4138,289,288,99.65,2.01515E+12,1
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,1,29.3,0.9,0.4373,0.0549,0.2343,289,67,23.18,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,1.4,63.2,1.3,0.4681,0.0839,0.2897,289,135,46.71,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,2.5,165.2998,2.4,0.6358,0.0999,0.3161,289,260,89.97,2.01515E+12,1
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,1.7,103.4,1.6,0.5249,0.0898,0.2996,289,197,68.17,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.6,1,5.6,0.4,0.8,0.0314,0.1773,289,7,2.42,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.3,1.3,140.5001,1,0.4913,0.0295,0.1717,289,286,98.96,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.3,0.3,1.5,0,0.3,0,0,289,5,1.73,2.01515E+12,F
