startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2017-10-12T00:00:00Z","2017-10-12T00:30:00Z",96.36079,96.34915,96.37910,0.00009,30.00000,0.01755,0.00173,1,,,
"2017-10-12T00:30:00Z","2017-10-12T01:00:00Z",96.35347,96.34915,96.35913,0.00003,30.00000,0.01730,0.00092,1,,,
"2017-10-12T01:00:00Z","2017-10-12T01:30:00Z",96.35480,96.34915,96.35913,0.00003,30.00000,0.01730,0.00092,1,,,
"2017-10-12T01:30:00Z","2017-10-12T02:00:00Z",96.34881,96.33916,96.35913,0.00004,30.00000,0.01737,0.00122,1,,,
"2017-10-12T02:00:00Z","2017-10-12T02:30:00Z",96.36545,96.33916,96.37910,0.00014,30.00000,0.01774,0.00217,1,,,
"2017-10-12T02:30:00Z","2017-10-12T03:00:00Z",96.38210,96.37910,96.38909,0.00002,30.00000,0.01728,0.00085,1,,,
"2017-10-12T03:00:00Z","2017-10-12T03:30:00Z",96.39042,96.37910,96.39906,0.00003,30.00000,0.01730,0.00092,1,,,
"2017-10-12T03:30:00Z","2017-10-12T04:00:00Z",96.39141,96.37910,96.39906,0.00004,30.00000,0.01735,0.00114,1,,,
"2017-10-12T04:00:00Z","2017-10-12T04:30:00Z",96.37810,96.36911,96.38909,0.00003,30.00000,0.01732,0.00100,1,,,
"2017-10-12T04:30:00Z","2017-10-12T05:00:00Z",96.37843,96.36911,96.38909,0.00001,30.00000,0.01725,0.00067,1,,,
"2017-10-12T05:00:00Z","2017-10-12T05:30:00Z",96.38576,96.37910,96.39906,0.00004,30.00000,0.01737,0.00120,1,,,
"2017-10-12T05:30:00Z","2017-10-12T06:00:00Z",96.39906,96.39906,96.39906,0.00000,30.00000,0.01720,0.00000,1,,,
"2017-10-12T06:00:00Z","2017-10-12T06:30:00Z",96.40339,96.38909,96.40905,0.00005,30.00000,0.01740,0.00133,1,,,
"2017-10-12T06:30:00Z","2017-10-12T07:00:00Z",96.40605,96.39906,96.40905,0.00002,30.00000,0.01728,0.00085,1,,,
"2017-10-12T07:00:00Z","2017-10-12T07:30:00Z",96.39574,96.38909,96.39906,0.00002,30.00000,0.01729,0.00087,1,,,
"2017-10-12T07:30:00Z","2017-10-12T08:00:00Z",96.38609,96.36911,96.38909,0.00003,30.00000,0.01731,0.00098,1,,,
"2017-10-12T08:00:00Z","2017-10-12T08:30:00Z",96.36778,96.35913,96.36911,0.00001,30.00000,0.01725,0.00063,1,,,
"2017-10-12T08:30:00Z","2017-10-12T09:00:00Z",96.36612,96.35913,96.36911,0.00002,30.00000,0.01728,0.00085,1,,,
"2017-10-12T09:00:00Z","2017-10-12T09:30:00Z",96.35780,96.34915,96.35913,0.00001,30.00000,0.01725,0.00063,1,,,
"2017-10-12T09:30:00Z","2017-10-12T10:00:00Z",96.35713,96.34915,96.36911,0.00006,30.00000,0.01745,0.00147,1,,,
"2017-10-12T10:00:00Z","2017-10-12T10:30:00Z",96.34615,96.33916,96.35913,0.00004,30.00000,0.01734,0.00109,1,,,
"2017-10-12T10:30:00Z","2017-10-12T11:00:00Z",96.34582,96.33916,96.34915,0.00002,30.00000,0.01729,0.00087,1,,,
"2017-10-12T11:00:00Z","2017-10-12T11:30:00Z",96.34715,96.33916,96.35913,0.00004,30.00000,0.01737,0.00121,1,,,
"2017-10-12T11:30:00Z","2017-10-12T12:00:00Z",96.32219,96.30921,96.32918,0.00006,30.00000,0.01744,0.00145,1,,,
"2017-10-12T12:00:00Z","2017-10-12T12:30:00Z",96.30189,96.28924,96.30921,0.00006,30.00000,0.01744,0.00143,1,,,
"2017-10-12T12:30:00Z","2017-10-12T13:00:00Z",96.28558,96.27926,96.28924,0.00002,30.00000,0.01729,0.00089,1,,,
"2017-10-12T13:00:00Z","2017-10-12T13:30:00Z",96.29789,96.28924,96.29923,0.00001,30.00000,0.01725,0.00063,1,,,
"2017-10-12T13:30:00Z","2017-10-12T14:00:00Z",96.27826,96.26928,96.29923,0.00007,30.00000,0.01747,0.00154,1,,,
"2017-10-12T14:00:00Z","2017-10-12T14:30:00Z",96.25430,96.23932,96.26928,0.00014,30.00000,0.01774,0.00218,1,,,
"2017-10-12T14:30:00Z","2017-10-12T15:00:00Z",96.22934,96.21935,96.23932,0.00003,30.00000,0.01731,0.00096,1,,,
"2017-10-12T15:00:00Z","2017-10-12T15:30:00Z",96.21204,96.19939,96.22934,0.00005,30.00000,0.01738,0.00126,1,,,
"2017-10-12T15:30:00Z","2017-10-12T16:00:00Z",96.19173,96.17942,96.19939,0.00005,30.00000,0.01740,0.00133,1,,,
"2017-10-12T16:00:00Z","2017-10-12T16:30:00Z",96.16078,96.14946,96.17942,0.00007,30.00000,0.01746,0.00149,1,,,
"2017-10-12T16:30:00Z","2017-10-12T17:00:00Z",96.14814,96.12950,96.16944,0.00009,30.00000,0.01754,0.00171,1,,,
"2017-10-12T17:00:00Z","2017-10-12T17:30:00Z",96.10687,96.08956,96.12950,0.00020,30.00000,0.01795,0.00257,1,,,
"2017-10-12T17:30:00Z","2017-10-12T18:00:00Z",96.08557,96.06960,96.09955,0.00018,30.00000,0.01787,0.00242,1,,,
"2017-10-12T18:00:00Z","2017-10-12T18:30:00Z",96.05196,96.02966,96.06960,0.00019,30.00000,0.01792,0.00252,1,,,
"2017-10-12T18:30:00Z","2017-10-12T19:00:00Z",96.00470,95.98972,96.02966,0.00019,30.00000,0.01792,0.00252,1,,,
"2017-10-12T19:00:00Z","2017-10-12T19:30:00Z",95.97342,95.95977,95.98972,0.00009,30.00000,0.01753,0.00169,1,,,
"2017-10-12T19:30:00Z","2017-10-12T20:00:00Z",95.93115,95.90985,95.95977,0.00019,30.00000,0.01792,0.00252,1,,,
"2017-10-12T20:00:00Z","2017-10-12T20:30:00Z",95.88888,95.85993,95.90985,0.00019,30.00000,0.01794,0.00255,1,,,
"2017-10-12T20:30:00Z","2017-10-12T21:00:00Z",95.84762,95.83996,95.85993,0.00005,30.00000,0.01740,0.00133,1,,,
"2017-10-12T21:00:00Z","2017-10-12T21:30:00Z",95.83430,95.82000,95.84995,0.00005,30.00000,0.01740,0.00133,1,,,
"2017-10-12T21:30:00Z","2017-10-12T22:00:00Z",95.82632,95.81001,95.84995,0.00021,30.00000,0.01799,0.00264,1,,,
"2017-10-12T22:00:00Z","2017-10-12T22:30:00Z",95.80635,95.80002,95.81001,0.00002,30.00000,0.01729,0.00089,1,,,
"2017-10-12T22:30:00Z","2017-10-12T23:00:00Z",95.78305,95.77007,95.80002,0.00006,30.00000,0.01742,0.00137,1,,,
"2017-10-12T23:00:00Z","2017-10-12T23:30:00Z",95.78239,95.77007,95.80002,0.00014,30.00000,0.01774,0.00218,1,,,
"2017-10-12T23:30:00Z","2017-10-13T00:00:00Z",95.76575,95.75010,95.78006,0.00005,30.00000,0.01740,0.00133,1,,,
"2017-10-13T00:00:00Z","2017-10-13T00:30:00Z",95.77939,95.77007,95.79004,0.00002,30.00000,0.01728,0.00082,1,,,
"2017-10-13T00:30:00Z","2017-10-13T01:00:00Z",95.77041,95.76009,95.78006,0.00005,30.00000,0.01740,0.00131,1,,,
"2017-10-13T01:00:00Z","2017-10-13T01:30:00Z",95.73413,95.71017,95.75010,0.00016,30.00000,0.01779,0.00228,1,,,
"2017-10-13T01:30:00Z","2017-10-13T02:00:00Z",95.70152,95.68021,95.71017,0.00014,30.00000,0.01772,0.00213,1,,,
"2017-10-13T02:00:00Z","2017-10-13T02:30:00Z",95.67822,95.66025,95.69020,0.00010,30.00000,0.01758,0.00182,1,,,
"2017-10-13T02:30:00Z","2017-10-13T03:00:00Z",95.68221,95.67023,95.69020,0.00006,30.00000,0.01745,0.00147,1,,,
"2017-10-13T03:00:00Z","2017-10-13T03:30:00Z",95.69885,95.68021,95.71017,0.00010,30.00000,0.01759,0.00184,1,,,
