startDateTime,endDateTime,inSWMean,inSWMinimum,inSWMaximum,inSWVariance,inSWNumPts,inSWExpUncert,inSWStdErMean,inSWFinalQF,outSWMean,outSWMinimum,outSWMaximum,outSWVariance,outSWNumPts,outSWExpUncert,outSWStdErMean,outSWFinalQF,inLWMean,inLWMinimum,inLWMaximum,inLWVariance,inLWNumPts,inLWExpUncert,inLWStdErMean,inLWFinalQF,outLWMean,outLWMinimum,outLWMaximum,outLWVariance,outLWNumPts,outLWExpUncert,outLWStdErMean,outLWFinalQF
"2019-08-01T00:00:00Z","2019-08-01T00:30:00Z",94.80,26.32,159.05,2783.19,60,15.26,6.81,0,3.97,1.01,18.82,9.90,60,1.15,0.41,0,314.3,313.1,315.2,0.2,60,12.4,0.1,0,439.4,437.1,441.2,1.3,60,12.4,0.1,0
"2019-08-01T00:30:00Z","2019-08-01T01:00:00Z",20.40,13.51,26.25,14.75,60,1.51,0.50,0,3.07,2.71,3.38,0.02,60,0.15,0.02,0,311.7,309.2,313.8,1.8,60,12.4,0.2,0,435.0,432.9,437.1,1.6,60,12.4,0.2,0
"2019-08-01T01:00:00Z","2019-08-01T01:30:00Z",5.24,-2.49,13.26,22.40,60,1.35,0.61,0,3.04,2.37,3.35,0.05,60,0.16,0.03,0,306.6,303.8,309.6,2.9,60,12.4,0.2,0,430.6,428.8,432.8,1.6,60,12.4,0.2,0
"2019-08-01T01:30:00Z","2019-08-01T02:00:00Z",-3.88,-4.99,-2.64,0.52,19,0.40,0.17,1,2.53,2.27,2.86,0.02,60,0.13,0.02,0,302.3,301.2,303.9,0.5,60,12.4,0.1,0,426.7,424.9,428.7,1.2,60,12.4,0.1,0
"2019-08-01T02:00:00Z","2019-08-01T02:30:00Z",,,,,,,,1,2.85,2.57,3.21,0.02,60,0.14,0.02,0,300.1,299.0,301.3,0.4,60,12.4,0.1,0,423.7,422.8,424.9,0.3,60,12.4,0.1,0
"2019-08-01T02:30:00Z","2019-08-01T03:00:00Z",,,,,,,,1,3.17,2.81,3.40,0.01,60,0.15,0.01,0,299.4,298.9,300.2,0.1,60,12.4,0.0,0,422.0,421.2,422.9,0.1,60,12.4,0.0,0
"2019-08-01T03:00:00Z","2019-08-01T03:30:00Z",,,,,,,,1,3.22,2.98,3.42,0.01,60,0.15,0.01,0,300.5,300.2,300.9,0.0,60,12.4,0.0,0,420.9,420.2,421.6,0.1,60,12.4,0.0,0
"2019-08-01T03:30:00Z","2019-08-01T04:00:00Z",,,,,,,,1,3.44,3.08,3.79,0.03,60,0.17,0.02,0,300.2,299.7,300.6,0.0,60,12.4,0.0,0,420.1,419.4,420.6,0.1,60,12.4,0.0,0
"2019-08-01T04:00:00Z","2019-08-01T04:30:00Z",,,,,,,,1,3.42,2.89,3.89,0.04,60,0.18,0.03,0,299.3,298.4,300.7,0.4,60,12.4,0.1,0,419.4,418.7,420.2,0.2,60,12.4,0.1,0
"2019-08-01T04:30:00Z","2019-08-01T05:00:00Z",,,,,,,,1,3.88,3.48,4.54,0.04,60,0.20,0.03,0,297.5,296.4,298.9,0.4,60,12.4,0.1,0,418.1,417.3,419.3,0.2,60,12.4,0.1,0
"2019-08-01T05:00:00Z","2019-08-01T05:30:00Z",-4.84,-4.99,-4.63,0.01,8,0.23,0.04,1,3.60,3.23,4.17,0.05,60,0.19,0.03,0,295.4,294.3,296.5,0.3,60,12.4,0.1,0,416.9,416.3,417.5,0.1,60,12.4,0.0,0
"2019-08-01T05:30:00Z","2019-08-01T06:00:00Z",-4.83,-4.90,-4.59,0.01,7,0.23,0.04,1,3.46,2.49,4.17,0.15,60,0.21,0.05,0,293.9,292.9,294.8,0.2,60,12.4,0.1,0,416.0,414.9,416.9,0.3,60,12.4,0.1,0
"2019-08-01T06:00:00Z","2019-08-01T06:30:00Z",-4.86,-4.97,-4.73,0.01,11,0.22,0.02,1,3.54,2.79,4.24,0.14,60,0.21,0.05,0,292.8,292.3,293.7,0.1,60,12.4,0.0,0,414.8,414.2,415.6,0.1,60,12.4,0.0,0
"2019-08-01T06:30:00Z","2019-08-01T07:00:00Z",-4.84,-4.97,-4.61,0.02,15,0.23,0.04,1,3.42,2.79,3.89,0.07,60,0.18,0.03,0,293.5,292.9,294.4,0.2,60,12.4,0.1,0,414.8,414.1,415.5,0.1,60,12.4,0.0,0
"2019-08-01T07:00:00Z","2019-08-01T07:30:00Z",-4.75,-4.97,-4.14,0.04,20,0.24,0.05,1,3.41,2.95,3.82,0.03,60,0.17,0.02,0,295.0,293.9,296.5,0.6,60,12.4,0.1,0,414.4,413.9,414.9,0.1,60,12.4,0.0,0
"2019-08-01T07:30:00Z","2019-08-01T08:00:00Z",-4.74,-4.99,-4.19,0.04,34,0.23,0.04,1,3.52,3.10,3.99,0.04,60,0.18,0.03,0,298.4,296.5,300.2,1.2,60,12.4,0.1,0,414.2,413.4,414.5,0.1,60,12.4,0.0,0
"2019-08-01T08:00:00Z","2019-08-01T08:30:00Z",-4.65,-4.99,-4.05,0.06,46,0.23,0.03,1,3.43,2.93,3.75,0.03,60,0.17,0.02,0,301.2,300.2,301.8,0.2,60,12.4,0.1,0,414.0,413.2,414.6,0.1,60,12.4,0.0,0
"2019-08-01T08:30:00Z","2019-08-01T09:00:00Z",-4.69,-4.99,-4.19,0.05,42,0.23,0.04,1,3.42,3.05,3.80,0.03,60,0.17,0.02,0,302.0,301.6,303.0,0.1,60,12.4,0.0,0,413.7,413.1,414.0,0.0,60,12.4,0.0,0
"2019-08-01T09:00:00Z","2019-08-01T09:30:00Z",-4.52,-4.99,-3.74,0.11,52,0.24,0.05,0,3.41,2.61,3.84,0.05,60,0.18,0.03,0,303.1,302.3,303.7,0.1,60,12.4,0.0,0,413.6,412.9,414.4,0.1,60,12.4,0.0,0
"2019-08-01T09:30:00Z","2019-08-01T10:00:00Z",-4.52,-4.96,-4.00,0.08,34,0.24,0.05,1,4.07,3.23,4.70,0.10,60,0.22,0.04,0,303.5,302.7,304.2,0.1,60,12.4,0.0,0,414.0,413.3,414.5,0.1,60,12.4,0.0,0
"2019-08-01T10:00:00Z","2019-08-01T10:30:00Z",-4.42,-4.98,-2.57,0.26,43,0.27,0.08,1,3.25,2.68,4.19,0.12,60,0.20,0.05,0,306.6,303.3,316.8,20.4,60,12.5,0.6,0,414.4,413.7,415.1,0.1,60,12.4,0.0,0
"2019-08-01T10:30:00Z","2019-08-01T11:00:00Z",2.92,-2.92,12.14,21.86,60,1.32,0.60,0,4.33,3.30,5.40,0.27,60,0.27,0.07,0,306.0,302.8,316.5,17.1,60,12.4,0.5,0,414.4,413.7,415.2,0.1,60,12.4,0.0,0
"2019-08-01T11:00:00Z","2019-08-01T11:30:00Z",29.91,12.20,81.58,417.84,60,6.35,2.64,0,6.19,5.34,11.13,1.40,60,0.57,0.15,0,314.3,303.4,323.2,43.0,60,12.5,0.8,0,415.0,413.7,415.9,0.3,60,12.4,0.1,0
