startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2019-06-01T00:00:00Z","2019-06-01T00:30:00Z",49.16,46.57,51.94,2.81,30,0.64,0.31,1,18.159,17.580,18.787,0.101,30,2.203,0.058,0,7.270,6.698,7.933,0.110,30,0.870,0.061,1
"2019-06-01T00:30:00Z","2019-06-01T01:00:00Z",52.44,50.20,54.76,1.44,30,0.48,0.22,1,16.959,16.481,17.549,0.106,30,2.203,0.059,0,7.111,6.577,7.620,0.074,30,0.873,0.050,1
"2019-06-01T01:00:00Z","2019-06-01T01:30:00Z",55.18,52.66,57.24,1.48,30,0.48,0.22,1,15.963,15.567,16.437,0.083,30,2.203,0.052,0,6.930,6.463,7.372,0.059,30,0.879,0.044,1
"2019-06-01T01:30:00Z","2019-06-01T02:00:00Z",56.87,55.36,60.00,1.51,30,0.49,0.22,1,15.193,14.775,15.545,0.067,30,2.202,0.047,0,6.651,6.215,7.244,0.062,30,0.884,0.046,1
"2019-06-01T02:00:00Z","2019-06-01T02:30:00Z",60.59,57.33,64.16,2.55,30,0.61,0.29,1,14.459,14.134,14.763,0.046,30,2.201,0.039,0,6.884,6.301,7.471,0.073,30,0.888,0.049,1
"2019-06-01T02:30:00Z","2019-06-01T03:00:00Z",61.70,60.03,64.42,0.81,30,0.38,0.16,1,13.729,13.316,14.088,0.056,30,2.202,0.043,0,6.463,5.793,7.044,0.082,30,0.894,0.052,0
"2019-06-01T03:00:00Z","2019-06-01T03:30:00Z",57.30,48.06,63.80,22.34,30,1.74,0.86,1,12.948,12.579,13.298,0.041,30,2.201,0.037,0,4.620,1.899,6.388,1.918,30,1.020,0.253,1
"2019-06-01T03:30:00Z","2019-06-01T04:00:00Z",49.18,46.74,53.50,2.70,30,0.63,0.30,1,12.249,11.969,12.575,0.040,30,2.201,0.037,0,1.843,0.962,3.237,0.289,30,0.910,0.098,1
"2019-06-01T04:00:00Z","2019-06-01T04:30:00Z",48.47,46.16,51.97,2.81,30,0.64,0.31,1,11.761,11.563,11.986,0.023,30,2.201,0.028,0,1.193,0.447,2.276,0.317,30,0.915,0.103,1
"2019-06-01T04:30:00Z","2019-06-01T05:00:00Z",48.42,46.51,52.37,2.53,30,0.61,0.29,1,11.285,10.983,11.526,0.026,30,2.201,0.029,0,0.740,0.016,1.764,0.198,30,0.909,0.081,1
