startDateTime,endDateTime,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF
"2019-05-01T00:00:00Z","2019-05-01T00:30:00Z",3.013,2.979,3.074,0.001,30,2.200,0.005,0
"2019-05-01T00:30:00Z","2019-05-01T01:00:00Z",2.996,2.956,3.038,0.000,30,2.200,0.004,0
"2019-05-01T01:00:00Z","2019-05-01T01:30:00Z",2.946,2.908,2.984,0.001,30,2.200,0.004,0
"2019-05-01T01:30:00Z","2019-05-01T02:00:00Z",2.874,2.815,2.931,0.001,30,2.200,0.005,0
"2019-05-01T02:00:00Z","2019-05-01T02:30:00Z",2.747,2.639,2.817,0.003,30,2.200,0.009,0
"2019-05-01T02:30:00Z","2019-05-01T03:00:00Z",2.409,2.245,2.639,0.013,30,2.200,0.021,0
"2019-05-01T03:00:00Z","2019-05-01T03:30:00Z",2.153,2.042,2.244,0.004,30,2.200,0.011,0
"2019-05-01T03:30:00Z","2019-05-01T04:00:00Z",2.040,1.996,2.111,0.001,30,2.200,0.005,0
"2019-05-01T04:00:00Z","2019-05-01T04:30:00Z",2.111,2.085,2.144,0.000,30,2.200,0.003,0
"2019-05-01T04:30:00Z","2019-05-01T05:00:00Z",2.133,2.080,2.201,0.001,30,2.200,0.006,0
"2019-05-01T05:00:00Z","2019-05-01T05:30:00Z",2.003,1.921,2.103,0.003,30,2.200,0.010,0
"2019-05-01T05:30:00Z","2019-05-01T06:00:00Z",1.820,1.676,2.026,0.008,30,2.200,0.016,0
"2019-05-01T06:00:00Z","2019-05-01T06:30:00Z",1.622,1.573,1.667,0.001,30,2.200,0.005,0
"2019-05-01T06:30:00Z","2019-05-01T07:00:00Z",1.449,1.179,1.579,0.012,30,2.200,0.020,0
"2019-05-01T07:00:00Z","2019-05-01T07:30:00Z",0.767,0.403,1.170,0.076,30,2.202,0.050,0
"2019-05-01T07:30:00Z","2019-05-01T08:00:00Z",0.205,0.074,0.402,0.007,30,2.200,0.015,0
"2019-05-01T08:00:00Z","2019-05-01T08:30:00Z",0.023,-0.046,0.124,0.002,30,2.200,0.008,0
"2019-05-01T08:30:00Z","2019-05-01T09:00:00Z",-0.039,-0.087,0.027,0.001,30,2.200,0.005,0
"2019-05-01T09:00:00Z","2019-05-01T09:30:00Z",-0.066,-0.140,0.012,0.002,30,2.200,0.007,0
"2019-05-01T09:30:00Z","2019-05-01T10:00:00Z",-0.080,-0.141,0.009,0.002,30,2.200,0.008,0
"2019-05-01T10:00:00Z","2019-05-01T10:30:00Z",-0.016,-0.091,0.108,0.001,30,2.200,0.007,0
"2019-05-01T10:30:00Z","2019-05-01T11:00:00Z",0.003,-0.048,0.071,0.001,30,2.200,0.006,0
"2019-05-01T11:00:00Z","2019-05-01T11:30:00Z",0.171,0.038,0.275,0.005,30,2.200,0.012,0
"2019-05-01T11:30:00Z","2019-05-01T12:00:00Z",0.335,0.221,0.483,0.005,30,2.200,0.013,0
"2019-05-01T12:00:00Z","2019-05-01T12:30:00Z",0.593,0.469,0.729,0.006,30,2.200,0.014,0
"2019-05-01T12:30:00Z","2019-05-01T13:00:00Z",0.784,0.706,0.880,0.002,30,2.200,0.008,0
"2019-05-01T13:00:00Z","2019-05-01T13:30:00Z",0.857,0.809,0.927,0.001,30,2.200,0.006,0
"2019-05-01T13:30:00Z","2019-05-01T14:00:00Z",0.981,0.871,1.094,0.003,30,2.200,0.010,0
"2019-05-01T14:00:00Z","2019-05-01T14:30:00Z",0.845,0.789,0.927,0.001,30,2.200,0.006,0
"2019-05-01T14:30:00Z","2019-05-01T15:00:00Z",1.072,0.840,1.258,0.016,30,2.200,0.023,0
"2019-05-01T15:00:00Z","2019-05-01T15:30:00Z",1.464,1.265,1.664,0.015,30,2.200,0.022,0
"2019-05-01T15:30:00Z","2019-05-01T16:00:00Z",1.865,1.703,1.944,0.004,30,2.200,0.011,0
"2019-05-01T16:00:00Z","2019-05-01T16:30:00Z",1.856,1.814,1.937,0.001,30,2.200,0.005,0
"2019-05-01T16:30:00Z","2019-05-01T17:00:00Z",1.961,1.869,2.068,0.003,30,2.200,0.010,0
"2019-05-01T17:00:00Z","2019-05-01T17:30:00Z",2.135,1.989,2.281,0.006,30,2.200,0.014,0
"2019-05-01T17:30:00Z","2019-05-01T18:00:00Z",2.178,2.118,2.279,0.002,30,2.200,0.008,0
"2019-05-01T18:00:00Z","2019-05-01T18:30:00Z",2.026,1.925,2.124,0.003,30,2.200,0.010,0
"2019-05-01T18:30:00Z","2019-05-01T19:00:00Z",2.329,1.997,2.594,0.030,30,2.201,0.032,0
"2019-05-01T19:00:00Z","2019-05-01T19:30:00Z",2.798,2.467,3.121,0.037,30,2.201,0.035,0
"2019-05-01T19:30:00Z","2019-05-01T20:00:00Z",3.267,3.089,3.548,0.016,30,2.200,0.023,0
"2019-05-01T20:00:00Z","2019-05-01T20:30:00Z",3.243,3.112,3.529,0.011,30,2.200,0.019,0
"2019-05-01T20:30:00Z","2019-05-01T21:00:00Z",3.245,3.060,3.465,0.011,30,2.200,0.019,0
"2019-05-01T21:00:00Z","2019-05-01T21:30:00Z",3.232,3.135,3.362,0.005,30,2.200,0.012,0
"2019-05-01T21:30:00Z","2019-05-01T22:00:00Z",3.109,3.024,3.196,0.003,30,2.200,0.011,0
