startDateTime,endDateTime,buoyWindSpeedMean,buoyWindSpeedMinimum,buoyWindSpeedMaximum,buoyWindSpeedVariance,buoyWindSpeedNumPts,buoyWindSpeedExpUncert,buoyWindSpeedStdErMean,buoyWindSpeedFinalQF,buoyWindDirMean,buoyWindDirVariance,buoyWindDirNumPts,buoyWindDirExpUncert,buoyWindDirStdErMean,buoyWindDirFinalQF
"2018-08-01T00:00:00Z","2018-08-01T00:02:00Z",0.20,0.00,0.96,0.13,30.00,0.19,0.07,,,,,,,
"2018-08-01T00:02:00Z","2018-08-01T00:04:00Z",0.35,0.00,1.00,0.10,29.00,0.18,0.06,,,,,,,
"2018-08-01T00:04:00Z","2018-08-01T00:06:00Z",0.57,0.00,1.29,0.13,28.00,0.20,0.07,,,,,,,
"2018-08-01T00:06:00Z","2018-08-01T00:08:00Z",0.85,0.00,1.54,0.16,28.00,0.21,0.07,,,,,,,
"2018-08-01T00:08:00Z","2018-08-01T00:10:00Z",0.19,0.00,0.81,0.07,28.00,0.17,0.05,,,,,,,
"2018-08-01T00:10:00Z","2018-08-01T00:12:00Z",0.25,0.00,1.06,0.13,27.00,0.20,0.07,,,,,,,
"2018-08-01T00:12:00Z","2018-08-01T00:14:00Z",0.49,0.00,1.00,0.10,27.00,0.19,0.06,,,,,,,
"2018-08-01T00:14:00Z","2018-08-01T00:16:00Z",0.23,0.00,0.54,0.05,29.00,0.16,0.04,,,,,,,
"2018-08-01T00:16:00Z","2018-08-01T00:18:00Z",0.28,0.00,0.71,0.07,30.00,0.17,0.05,,,,,,,
"2018-08-01T00:18:00Z","2018-08-01T00:20:00Z",0.13,0.00,0.62,0.05,29.00,0.16,0.04,,,,,,,
"2018-08-01T00:20:00Z","2018-08-01T00:22:00Z",0.44,0.00,1.04,0.17,28.00,0.21,0.08,,,,,,,
"2018-08-01T00:22:00Z","2018-08-01T00:24:00Z",0.81,0.54,1.12,0.04,29.00,0.16,0.04,,,,,,,
"2018-08-01T00:24:00Z","2018-08-01T00:26:00Z",0.53,0.00,1.08,0.07,30.00,0.17,0.05,,,,,,,
"2018-08-01T00:26:00Z","2018-08-01T00:28:00Z",0.52,0.00,0.83,0.05,30.00,0.16,0.04,,,,,,,
"2018-08-01T00:28:00Z","2018-08-01T00:30:00Z",0.67,0.00,1.08,0.12,30.00,0.19,0.06,,,,,,,
"2018-08-01T00:30:00Z","2018-08-01T00:32:00Z",0.77,0.00,1.25,0.14,28.00,0.20,0.07,,,,,,,
"2018-08-01T00:32:00Z","2018-08-01T00:34:00Z",0.79,0.00,1.12,0.10,30.00,0.18,0.06,,,,,,,
"2018-08-01T00:34:00Z","2018-08-01T00:36:00Z",0.49,0.00,0.75,0.03,29.00,0.15,0.03,,,,,,,
"2018-08-01T00:36:00Z","2018-08-01T00:38:00Z",0.65,0.00,1.04,0.06,29.00,0.17,0.05,,,,,,,
"2018-08-01T00:38:00Z","2018-08-01T00:40:00Z",1.11,0.87,1.33,0.02,27.00,0.15,0.03,,,,,,,
"2018-08-01T00:40:00Z","2018-08-01T00:42:00Z",1.01,0.67,1.21,0.02,28.00,0.15,0.03,,,,,,,
"2018-08-01T00:42:00Z","2018-08-01T00:44:00Z",1.08,0.83,1.33,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T00:44:00Z","2018-08-01T00:46:00Z",0.82,0.33,1.17,0.08,30.00,0.17,0.05,,,,,,,
"2018-08-01T00:46:00Z","2018-08-01T00:48:00Z",0.90,0.46,1.21,0.04,30.00,0.16,0.04,,,,,,,
"2018-08-01T00:48:00Z","2018-08-01T00:50:00Z",0.99,0.67,1.21,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T00:50:00Z","2018-08-01T00:52:00Z",0.65,0.00,1.17,0.13,30.00,0.19,0.07,,,,,,,
"2018-08-01T00:52:00Z","2018-08-01T00:54:00Z",0.81,0.00,1.00,0.03,30.00,0.15,0.03,,,,,,,
"2018-08-01T00:54:00Z","2018-08-01T00:56:00Z",0.81,0.58,1.04,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T00:56:00Z","2018-08-01T00:58:00Z",1.00,0.83,1.33,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T00:58:00Z","2018-08-01T01:00:00Z",0.54,0.00,1.00,0.14,30.00,0.20,0.07,,,,,,,
"2018-08-01T01:00:00Z","2018-08-01T01:02:00Z",0.39,0.00,0.67,0.03,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:02:00Z","2018-08-01T01:04:00Z",0.77,0.25,1.12,0.05,30.00,0.16,0.04,,,,,,,
"2018-08-01T01:04:00Z","2018-08-01T01:06:00Z",1.05,0.75,1.29,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:06:00Z","2018-08-01T01:08:00Z",1.35,0.96,1.62,0.04,30.00,0.16,0.03,,,,,,,
"2018-08-01T01:08:00Z","2018-08-01T01:10:00Z",1.49,1.12,1.75,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:10:00Z","2018-08-01T01:12:00Z",0.88,0.46,1.29,0.04,30.00,0.16,0.04,,,,,,,
"2018-08-01T01:12:00Z","2018-08-01T01:14:00Z",0.59,0.25,1.00,0.03,30.00,0.16,0.03,,,,,,,
"2018-08-01T01:14:00Z","2018-08-01T01:16:00Z",0.93,0.33,1.17,0.04,30.00,0.16,0.04,,,,,,,
"2018-08-01T01:16:00Z","2018-08-01T01:18:00Z",1.09,0.71,1.42,0.04,30.00,0.16,0.03,,,,,,,
"2018-08-01T01:18:00Z","2018-08-01T01:20:00Z",0.63,0.00,1.21,0.18,30.00,0.21,0.08,,,,,,,
"2018-08-01T01:20:00Z","2018-08-01T01:22:00Z",0.99,0.62,1.29,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:22:00Z","2018-08-01T01:24:00Z",0.97,0.71,1.21,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:24:00Z","2018-08-01T01:26:00Z",0.98,0.75,1.17,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:26:00Z","2018-08-01T01:28:00Z",1.31,0.96,1.71,0.03,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:28:00Z","2018-08-01T01:30:00Z",1.19,0.83,1.42,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:30:00Z","2018-08-01T01:32:00Z",1.05,0.77,1.29,0.01,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:32:00Z","2018-08-01T01:34:00Z",1.10,0.79,1.42,0.03,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:34:00Z","2018-08-01T01:36:00Z",1.11,0.87,1.37,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:36:00Z","2018-08-01T01:38:00Z",1.06,0.83,1.29,0.02,30.00,0.15,0.02,,,,,,,
"2018-08-01T01:38:00Z","2018-08-01T01:40:00Z",1.17,0.92,1.50,0.03,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:40:00Z","2018-08-01T01:42:00Z",1.46,1.25,1.83,0.03,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:42:00Z","2018-08-01T01:44:00Z",1.56,1.29,1.87,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:44:00Z","2018-08-01T01:46:00Z",1.33,1.12,1.67,0.02,30.00,0.15,0.03,,,,,,,
"2018-08-01T01:46:00Z","2018-08-01T01:48:00Z",1.24,1.08,1.54,0.01,29.00,0.15,0.02,,,,,,,
