iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2007 1 0 0 -95.0 12.0 -999.0 -999.0 0 0.73 68.7 0.25 85.6505 0.0 -2.5 0 206.0 -999.0 -999.0 0.0008720188824966613 1.5999999999999999 -999.0 -999.0 275.0
2007 1 1 0 -94.5 1.5 0.0 -999.0 0 0.67 58.75 1.9 85.601 0.0 -2.0 0 204.0 -999.0 -999.0 0.0014268246900665342 1.5999999999999999 -999.0 -999.0 258.5
2007 1 2 0 -92.5 5.5 0.0 -999.0 0 0.76 67.25 -0.10000000000000003 85.5505 0.0 -3.0 0 204.5 -999.0 -999.0 0.0018680588616841003 1.5999999999999999 -999.0 -999.0 276.0
2007 1 3 0 -72.0 -11.5 3.0 -999.0 0 1.035 70.0 -0.5 85.5 0.0 -1.5 0 227.5 -999.0 -999.0 0.0022851550705382806 1.5999999999999999 -999.0 -999.0 256.0
2007 1 4 0 -52.0 7.0 1.0 -999.0 0 1.0899999999999999 70.15 -0.25 85.45 0.0 -0.5 0 250.0 -999.0 -999.0 0.002736855054254287 1.5999999999999999 -999.0 -999.0 275.5
2007 1 5 0 -50.0 7.5 -999.0 -999.0 0 0.6799999999999999 65.15 0.8 85.4 0.0 0.0 0 253.5 -999.0 -999.0 0.0032652207635758637 1.5999999999999999 -999.0 -999.0 284.5
2007 1 6 0 -45.5 10.5 -999.0 -999.0 0 0.45999999999999996 58.150000000000006 1.95 85.301 0.0 -0.5 0 259.5 -999.0 -999.0 0.003932966748680637 1.5999999999999999 -999.0 -999.0 228.5
2007 1 7 0 -45.0 4.0 0.0 -999.0 0 1.145 60.2505 2.3 85.301 0.0 0.0 0 263.5 -999.0 -999.0 0.008474471093537753 1.5999999999999999 -999.0 -999.0 304.0
2007 1 8 0 -23.5 -1.5 3.0 -999.0 0 0.615 70.35 1.35 85.4 0.0 32.5 0 261.0 -999.0 -999.0 0.02809442525307067 1.5999999999999999 -999.0 -999.0 265.0
2007 1 9 0 19.0 10.5 -999.0 -999.0 0 0.76 68.4 3.6999999999999997 85.4 0.0 113.5 0 258.0 -999.0 -999.0 0.06967196855106057 1.5999999999999999 -999.0 -999.0 262.0
2007 1 10 0 61.5 0.0 29.0 -999.0 0 0.76 63.65050000000001 6.1 85.4 0.0 171.0 0 270.0 -999.0 -999.0 0.12887062098820934 1.5999999999999999 -999.0 -999.0 31.5
2007 1 11 0 81.5 18.5 21.5 -999.0 0 0.835 47.65 7.9 85.301 0.0 205.5 0 273.0 -999.0 -999.0 0.22488043956870976 1.5999999999999999 -999.0 -999.0 47.5
2007 1 12 0 195.0 75.0 38.0 -999.0 0 2.08 37.35 11.1 85.2505 0.0 444.0 0 245.0 -999.0 -999.0 0.36460845870752934 1.5999999999999999 -999.0 -999.0 269.0
